Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Thigh.Top.LateralX	R.Thigh.Top.LateralY	R.Thigh.Top.LateralZ	R.Thigh.Bottom.LateralX	R.Thigh.Bottom.LateralY	R.Thigh.Bottom.LateralZ	R.Thigh.Top.MedialX	R.Thigh.Top.MedialY	R.Thigh.Top.MedialZ	R.Thigh.Bottom.MedialX	R.Thigh.Bottom.MedialY	R.Thigh.Bottom.MedialZ	R.Shank.Top.LateralX	R.Shank.Top.LateralY	R.Shank.Top.LateralZ	R.Shank.Bottom.LateralX	R.Shank.Bottom.LateralY	R.Shank.Bottom.LateralZ	R.Shank.Top.MedialX	R.Shank.Top.MedialY	R.Shank.Top.MedialZ	R.Shank.Bottom.MedialX	R.Shank.Bottom.MedialY	R.Shank.Bottom.MedialZ	R.Heel.TopX	R.Heel.TopY	R.Heel.TopZ	R.Heel.BottomX	R.Heel.BottomY	R.Heel.BottomZ	R.Heel.LateralX	R.Heel.LateralY	R.Heel.LateralZ	L.Thigh.Top.LateralX	L.Thigh.Top.LateralY	L.Thigh.Top.LateralZ	L.Thigh.Bottom.LateralX	L.Thigh.Bottom.LateralY	L.Thigh.Bottom.LateralZ	L.Thigh.Top.MedialX	L.Thigh.Top.MedialY	L.Thigh.Top.MedialZ	L.Thigh.Bottom.MedialX	L.Thigh.Bottom.MedialY	L.Thigh.Bottom.MedialZ	L.Shank.Top.LateralX	L.Shank.Top.LateralY	L.Shank.Top.LateralZ	L.Shank.Bottom.LateralX	L.Shank.Bottom.LateralY	L.Shank.Bottom.LateralZ	L.Shank.Top.MedialX	L.Shank.Top.MedialY	L.Shank.Top.MedialZ	L.Shank.Bottom.MedialX	L.Shank.Bottom.MedialY	L.Shank.Bottom.MedialZ	L.Heel.TopX	L.Heel.TopY	L.Heel.TopZ	L.Heel.BottomX	L.Heel.BottomY	L.Heel.BottomZ	L.Heel.LateralX	L.Heel.LateralY	L.Heel.LateralZ	R.KneeX	R.KneeY	R.KneeZ	R.Knee.MedialX	R.Knee.MedialY	R.Knee.MedialZ	R.HFX	R.HFY	R.HFZ	R.TTX	R.TTY	R.TTZ	R.AnkleX	R.AnkleY	R.AnkleZ	R.Ankle.MedialX	R.Ankle.MedialY	R.Ankle.MedialZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	R.MT2X	R.MT2Y	R.MT2Z	L.GTRX	L.GTRY	L.GTRZ	L.KneeX	L.KneeY	L.KneeZ	L.Knee.MedialX	L.Knee.MedialY	L.Knee.MedialZ	L.HFX	L.HFY	L.HFZ	L.TTX	L.TTY	L.TTZ	L.AnkleX	L.AnkleY	L.AnkleZ	L.Ankle.MedialX	L.Ankle.MedialY	L.Ankle.MedialZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z	L.MT2X	L.MT2Y	L.MT2Z	R.ASYX	R.ASYY	R.ASYZ
0.0				2320.942	959.477	1307.99	2154.82	989.142	1509.367	2147.466	994.296	1424.894	2272.087	1026.515	1622.98	2219.93	1032.355	1281.1	2320.095	657.695	1643.615	2372.258	561.086	1631.888	2272.399	636.42	1599.264	2326.08	541.828	1580.897	2193.712	423.485	1609.221	2126.569	377.583	1601.165	2185.678	445.158	1561.1	2118.572	401.748	1552.027	2004.974	365.974	1527.772	1959.112	355.529	1521.463	1979.189	341.472	1573.513	2292.051	688.514	1265.009	2328.198	586.101	1285.146	2231.05	671.689	1290.684	2262.772	568.6	1309.747	2192.812	228.909	1340.228	2166.642	155.344	1362.923	2159.677	253.128	1374.254	2130.081	176.206	1392.649	2067.868	81.224	1425.914	2054.576	38.058	1423.439	2085.671	49.02	1379.733																			2068.137	155.936	1537.957	2031.929	202.397	1631.523																									2284.384	40.719	1459.331	2244.328	39.526	1346.461				2080.13	204.782	1577.67
0.007	2334.703	948.21	1588.854	2320.746	960.428	1308.046	2154.422	991.546	1509.016	2147.284	996.568	1424.096	2271.456	1027.801	1622.275	2221.096	1033.588	1280.448	2323.936	661.619	1643.947	2378.534	566.417	1632.299	2276.662	638.935	1599.774	2332.838	545.764	1581.332	2203.75	422.024	1608.816	2138.312	373.852	1600.296	2195.019	443.722	1560.792	2129.943	398.135	1551.044	2016.82	357.816	1526.613	1971.337	345.328	1519.993	1991.94	332.204	1572.126	2286.573	689.457	1264.72	2321.005	585.901	1285.203	2225.015	673.85	1289.657	2254.342	569.899	1308.247	2178.132	229.732	1340.486	2151.365	156.657	1363.095	2145.076	254.506	1374.464	2114.989	177.73	1392.722	2051.385	82.219	1425.797	2037.901	39.14	1423.418	2068.984	49.926	1379.674																			2089.005	150.773	1536.736	2050.714	195.557	1630.105																									2267.55	40.573	1459.225	2227.558	39.668	1346.7				2098.644	200.576	1576.292
0.013	2333.274	950.775	1588.396	2320.528	961.8	1307.802	2154.265	994.477	1508.91	2147.289	999.13	1423.347	2270.712	1028.258	1622.164	2222.569	1035.434	1279.9	2327.377	666.102	1644.19	2384.384	572.212	1632.725	2280.702	642.026	1600.185	2338.837	550.473	1582.013	2213.48	420.314	1608.308	2149.944	369.662	1599.273	2203.71	441.841	1560.33	2140.364	393.727	1550.403	2028.772	348.881	1524.882	1984.089	334.241	1518.406	2005.089	322.056	1570.542	2281.217	690.614	1264.68	2311.807	586.559	1284.495	2218.847	676.478	1288.934	2245.47	571.759	1307.13	2163.057	231.073	1340.439	2135.796	158.144	1363.183	2130.535	255.924	1374.688	2099.955	179.406	1393.186	2034.975	83.732	1425.44	2021.28	40.667	1423.059	2052.566	51.259	1379.338																			2109.863	145.219	1534.923	2069.883	188.18	1628.506																									2250.645	40.519	1459.261	2210.809	39.523	1346.764				2117.678	195.436	1574.825
0.02	2332.958	953.134	1587.577	2320.517	963.941	1307.553	2154.366	997.854	1508.934	2147.431	1002.013	1422.572	2269.805	1028.478	1622.161	2224.448	1037.534	1278.708	2330.587	670.984	1644.45	2389.662	578.365	1633.298	2284.485	645.719	1600.516	2345.318	555.48	1582.249	2222.912	418.26	1607.61	2161.565	365.002	1598.087	2212.491	439.556	1559.71	2151.038	388.94	1549.329	2041.117	339.166	1523.229	1997.277	322.416	1516.6	2018.581	311.21	1568.865	2275.567	692.071	1264.707	2303.241	587.127	1284.671	2212.646	679.473	1288.429	2236.208	574.077	1306.393	2148.427	232.715	1340.834	2120.177	160.004	1362.987	2116.514	257.77	1375.505	2084.325	181.507	1393.016	2018.766	85.773	1424.917	2004.574	42.974	1422.693	2036.15	52.956	1379.016																			2132.134	139.598	1533.427	2089.645	180.417	1626.632																									2233.909	40.222	1458.93	2193.955	39.557	1346.791				2136.924	189.963	1573.11
0.027	2332.973	955.966	1586.654	2320.739	966.597	1307.293	2154.644	1001.615	1508.872	2147.855	1005.139	1421.727	2268.951	1029.22	1622.129	2226.838	1040.44	1277.991	2333.588	676.248	1644.741	2394.58	584.87	1633.851	2287.943	649.945	1600.803	2350.862	560.955	1582.655	2232.119	415.828	1606.735	2173.298	360.061	1596.594	2220.562	436.66	1558.62	2161.835	383.623	1548.095	2053.856	328.824	1521.569	2010.981	309.917	1514.721	2032.388	299.765	1567.067	2269.701	693.776	1264.932	2294.467	587.958	1285.234	2206.365	682.888	1288.147	2226.819	576.864	1306.156	2133.13	234.899	1340.767	2104.676	162.191	1362.758	2101.652	259.964	1375.533	2068.921	183.894	1392.87	2002.774	88.546	1424.105	1988.112	45.877	1422.312	2019.798	55.172	1378.569																			2155.371	134.279	1531.472	2109.816	172.345	1624.711																									2216.775	40.444	1459.353	2177.12	39.606	1346.879				2156.733	184.399	1571.481
0.033	2333.186	959.262	1585.876	2321.276	969.546	1306.983	2154.815	1005.734	1508.557	2148.424	1008.518	1420.979	2269.265	1031.155	1622.772	2229.479	1043.876	1277.431	2336.266	681.715	1645.098	2399.017	591.519	1634.467	2291.354	654.452	1601.039	2355.981	566.769	1583.058	2241.173	412.975	1605.738	2184.883	354.636	1595.436	2228.941	433.539	1557.903	2172.627	377.918	1546.762	2067.049	317.799	1519.729	2025.083	296.747	1512.662	2047.138	287.235	1564.818	2263.854	695.756	1265.318	2285.508	589.374	1285.876	2199.994	686.76	1288.213	2217.411	580.314	1306.417	2118.539	237.358	1340.653	2089.283	164.88	1362.322	2086.727	262.535	1375.229	2053.646	186.708	1392.435	1986.957	92.109	1423.282	1971.786	49.595	1421.667	2003.72	58.119	1377.997																			2178.855	129.139	1529.673	2130.646	164.117	1622.573																									2200.045	40.571	1459.421	2160.261	39.628	1347.016				2177.063	178.768	1569.595
0.04	2333.475	962.983	1585.194	2321.827	972.422	1306.526	2155.278	1009.864	1508.021	2149.127	1012.077	1420.321	2269.168	1033.976	1622.698	2232.493	1047.672	1276.865	2338.896	687.392	1645.504	2403.105	598.273	1634.949	2294.762	659.559	1601.193	2360.608	572.907	1583.359	2250.116	409.804	1604.679	2196.701	349.041	1593.932	2236.792	429.953	1556.717	2183.776	371.169	1544.88	2080.597	306.225	1517.806	2039.358	283.303	1509.951	2062.161	274.383	1562.659	2258.003	698.213	1265.767	2276.608	591.153	1286.62	2193.865	691.066	1288.379	2208.145	584.14	1306.921	2103.805	240.106	1340.207	2074.282	168.034	1361.833	2071.829	265.572	1374.373	2038.342	189.974	1391.557	1971.326	96.455	1422.058	1955.836	54.08	1421.145	1987.861	61.675	1377.417																			2202.483	123.712	1527.671	2152.142	155.834	1620.28																									2183.439	40.725	1459.233	2143.697	39.942	1346.715				2197.784	171.931	1569.194
0.047	2333.731	967.079	1584.669	2322.626	975.109	1306.011	2155.661	1014.281	1507.314	2149.952	1015.944	1419.531	2269.57	1037.86	1622.454	2235.469	1051.619	1276.354	2341.235	693.235	1645.915	2406.664	604.989	1635.31	2297.585	664.778	1601.526	2364.621	579.134	1583.616	2258.738	406.217	1603.557	2208.454	342.911	1592.406	2244.542	426.028	1555.695	2194.27	364.921	1543.483	2094.51	293.906	1515.517	2055.299	268.522	1508.137	2078.425	260.996	1560.094	2252.29	701.071	1266.22	2267.601	593.659	1287.229	2187.951	695.782	1288.736	2199.056	588.593	1307.593	2089.611	243.62	1339.843	2059.555	171.614	1361.255	2057.69	269.102	1373.97	2024.05	193.613	1391.047	1956.465	101.456	1421.112	1940.175	59.478	1420.708	1972.29	65.864	1376.842																			2226.293	118.803	1526.794	2174.173	147.692	1618.061																									2166.651	40.894	1459.096	2127.071	39.973	1346.896				2219.82	166.811	1567.338
0.053	2334.024	971.511	1584.29	2323.048	977.486	1305.258	2156.21	1018.773	1506.512	2151.124	1020.019	1418.516	2270.397	1042.657	1622.227	2238.824	1055.796	1276.115	2343.374	699.093	1646.399	2409.855	611.727	1635.568	2299.972	670.217	1601.959	2368.047	585.428	1583.806	2267.775	402.063	1602.159	2220.863	336.748	1590.237	2253.404	420.952	1553.874	2206.152	357.38	1541.365	2109.221	281.257	1513.285	2071.76	253.666	1505.354	2094.951	247.116	1557.604	2246.791	704.318	1266.639	2259.556	596.448	1288.204	2182.3	700.814	1289.113	2190.406	593.424	1308.257	2075.749	247.753	1339.523	2045.266	175.704	1360.732	2043.864	273.155	1373.677	2009.854	197.743	1390.476	1942.107	107.055	1420.172	1924.818	65.514	1420.176	1957.15	70.301	1376.151																			2251.122	113.834	1525.05	2196.836	139.654	1615.775																									2150.276	41.072	1458.74	2110.695	40.323	1346.75				2242.273	161.82	1565.295
0.06	2334.453	976.164	1583.99	2324.854	980.264	1305.202	2156.803	1023.654	1505.771	2152.764	1024.558	1417.62	2271.63	1048.328	1622.035	2242.327	1059.784	1275.954	2345.288	705.019	1646.918	2413.823	620.404	1635.323	2302.042	675.932	1602.575	2370.848	591.728	1583.96	2276.476	397.587	1600.813	2233.515	329.543	1588.459	2261.443	415.804	1552.489	2217.611	349.902	1539.507	2124.665	268.226	1510.888	2088.664	238.602	1502.793	2111.536	233.308	1555.34	2241.645	707.832	1267.059	2251.241	599.517	1288.667	2177.04	706.225	1289.468	2182.009	598.734	1308.823	2062.14	252.117	1339.217	2031.44	180.093	1360.164	2030.34	277.505	1373.416	1996.046	202.238	1389.988	1928.293	113.203	1419.287	1909.69	72.373	1419.384	1942.456	75.863	1375.723																			2276.198	110.115	1522.59	2220.073	131.854	1613.494																									2133.429	41.243	1458.861	2094.729	40.711	1347.163				2265.118	157.214	1563.306
0.067	2334.915	981.055	1583.967	2326.284	982.96	1305.138	2157.728	1028.216	1504.715	2154.385	1029.022	1416.329	2272.937	1054.576	1621.843	2246.09	1063.609	1276.03	2346.943	710.854	1647.366	2415.888	626.661	1635.465	2303.704	681.634	1603.178	2372.634	597.948	1584.474	2285.238	392.618	1599.444	2246.015	322.309	1586.613	2269.506	410.124	1550.956	2229.329	342.025	1537.588	2140.888	254.929	1508.364	2107.277	222.897	1499.795	2129.547	219.165	1552.675	2236.842	711.663	1267.409	2244.263	603.278	1289.597	2172.13	711.911	1289.729	2174.008	604.366	1309.162	2048.831	256.82	1338.94	2018.019	184.941	1359.622	2017.252	282.237	1373.275	1982.629	207.083	1389.655	1914.944	119.893	1418.68	1895.391	79.504	1419.027	1928.051	81.491	1375.312																			2301.446	106.236	1520.62	2243.601	124.321	1611.398																									2117.403	41.599	1458.62	2078.14	41.609	1346.573				2284.944	152.742	1560.166
0.073	2335.433	986.331	1583.914	2327.521	985.478	1305.043	2158.641	1032.986	1503.688	2156.056	1033.473	1415.021	2274.13	1061.168	1621.588	2249.702	1068.166	1276.215	2348.41	716.638	1647.875	2417.427	632.729	1635.634	2304.906	687.235	1603.988	2374.426	603.785	1584.492	2293.958	387.249	1597.916	2258.755	314.925	1584.684	2278.416	403.996	1549.338	2241.726	334.082	1535.64	2158.502	241.608	1505.689	2126.762	207.71	1496.863	2148.42	205.072	1549.918	2232.13	715.766	1267.57	2236.193	607.411	1289.485	2167.48	717.909	1289.889	2166.28	610.374	1309.374	2036.272	261.986	1339.0	2004.893	190.088	1359.158	2005.128	287.435	1373.812	1969.862	212.141	1389.404	1902.392	126.959	1417.94	1881.599	87.365	1418.817	1914.891	87.779	1375.325																			2327.06	102.681	1518.936	2267.448	116.998	1609.289																									2101.262	41.997	1458.433	2062.344	42.118	1346.862				2307.614	147.823	1558.542
0.08	2336.005	991.85	1583.955	2329.643	988.508	1305.513	2159.591	1037.692	1502.59	2157.968	1037.954	1413.586	2275.381	1068.001	1621.182	2253.53	1072.916	1276.526	2349.499	722.237	1648.355	2417.47	636.477	1635.865	2305.64	692.729	1604.916	2375.043	609.359	1584.957	2302.833	381.513	1596.302	2271.847	307.416	1582.733	2286.344	397.633	1547.744	2254.062	325.528	1533.606	2175.793	228.417	1503.324	2146.533	192.695	1493.836	2168.01	191.235	1547.136	2227.627	720.166	1267.693	2228.887	611.622	1289.835	2163.128	724.086	1290.117	2158.851	616.592	1309.53	2023.709	267.503	1338.8	1992.287	195.56	1358.615	1992.964	292.828	1373.993	1957.469	217.565	1389.285	1890.461	134.459	1417.307	1868.314	95.561	1418.612	1901.463	94.461	1375.065																			2352.694	99.5	1517.593	2291.476	110.014	1607.424																									2085.396	42.486	1458.3	2046.89	43.088	1346.831				2330.22	143.264	1557.108
0.087	2336.615	997.577	1584.002	2331.784	991.55	1306.182	2160.659	1042.489	1501.445	2159.883	1042.368	1412.1	2276.489	1074.753	1620.739	2257.605	1077.706	1276.958	2350.404	727.554	1648.763	2418.051	641.808	1635.879	2305.968	698.16	1605.79	2374.983	614.472	1585.609	2311.575	375.453	1594.682	2284.495	299.87	1581.162	2294.685	390.629	1545.924	2266.668	316.708	1531.583	2194.45	215.234	1500.627	2167.537	177.846	1490.649	2188.391	177.457	1544.265	2223.529	724.689	1267.716	2221.27	616.311	1289.244	2159.131	730.365	1290.133	2151.784	623.125	1309.493	2011.344	273.434	1337.988	1980.005	201.381	1357.958	1981.295	298.404	1374.143	1945.685	223.206	1389.212	1879.187	142.311	1416.7	1855.717	104.253	1418.386	1888.708	101.6	1374.794																			2378.5	97.014	1516.234	2315.74	103.355	1605.584																									2069.814	42.971	1458.181	2031.418	43.911	1346.731				2352.764	139.179	1555.957
0.093	2337.234	1003.259	1584.077	2334.192	994.632	1307.039	2161.814	1047.189	1500.4	2161.64	1046.71	1410.499	2277.496	1081.454	1620.16	2261.75	1082.505	1277.397	2350.902	732.591	1649.137	2418.059	646.676	1635.85	2305.837	703.238	1606.802	2374.251	619.152	1586.309	2320.363	369.165	1593.131	2298.055	292.11	1579.265	2303.152	383.104	1544.086	2279.65	307.826	1529.552	2213.757	202.238	1497.93	2188.726	163.405	1487.832	2209.399	163.703	1541.368	2219.477	729.357	1267.584	2214.256	620.851	1288.835	2155.323	736.768	1290.16	2145.135	629.735	1309.37	1999.783	279.391	1337.673	1968.419	207.255	1357.255	1970.286	304.196	1374.491	1934.519	228.936	1389.144	1868.763	150.455	1415.91	1843.439	113.554	1418.189	1876.375	109.035	1374.347																			2404.131	94.947	1515.596	2340.19	97.372	1603.99																									2054.545	43.644	1458.04	2016.266	45.093	1346.394				2376.288	136.315	1554.949
0.1	2338.02	1008.668	1584.273	2337.535	997.91	1308.287	2163.101	1051.88	1499.399	2164.291	1051.269	1409.334	2278.229	1087.88	1619.513	2266.687	1086.66	1278.87	2351.059	737.235	1649.367	2417.486	650.937	1635.65	2305.247	708.056	1607.745	2372.788	623.364	1587.0	2329.955	362.893	1591.295	2311.831	284.309	1577.158	2311.339	375.268	1542.563	2292.88	298.885	1527.598	2233.538	189.483	1495.202	2211.022	149.237	1484.966	2230.726	150.958	1538.921	2215.824	734.079	1267.384	2208.048	625.713	1288.842	2151.819	743.206	1290.143	2138.873	636.529	1309.167	1988.674	285.498	1337.094	1957.632	213.172	1356.552	1959.936	310.042	1374.667	1924.167	234.666	1388.928	1859.014	158.881	1414.999	1832.285	123.075	1417.656	1864.849	116.804	1373.604																			2429.692	93.804	1514.927	2364.824	92.147	1602.624																									2039.517	44.381	1457.9	2001.386	46.339	1346.469				2399.164	133.078	1554.218
0.107	2338.685	1013.911	1584.482	2339.703	1000.69	1309.108	2164.678	1056.398	1498.508	2166.684	1055.477	1408.18	2278.685	1094.026	1618.756	2271.009	1091.111	1279.157	2350.817	741.468	1649.567	2416.233	654.501	1635.2	2304.253	712.498	1608.463	2370.538	627.102	1587.55	2339.801	356.473	1589.498	2325.64	276.791	1575.841	2320.813	367.809	1540.446	2306.08	290.139	1525.875	2253.153	177.334	1494.015	2233.545	135.768	1482.443	2252.939	138.281	1536.331	2212.355	738.946	1267.142	2201.548	630.86	1287.913	2148.759	749.588	1290.193	2133.155	643.22	1308.987	1978.659	291.759	1336.508	1947.467	219.39	1355.412	1950.354	315.9	1374.693	1914.509	240.553	1388.545	1850.098	167.578	1413.858	1821.799	133.039	1416.809	1853.86	124.96	1372.779																			2454.865	93.494	1514.224	2389.505	87.857	1601.449																									2024.923	45.142	1457.562	1986.868	47.809	1346.106				2421.728	130.738	1553.217
0.113	2339.218	1018.43	1585.015	2342.627	1003.786	1310.411	2166.338	1060.882	1497.69	2168.791	1059.645	1407.143	2278.91	1099.833	1618.103	2275.348	1095.24	1279.328	2350.204	745.282	1649.421	2414.413	657.39	1634.504	2302.782	716.711	1609.083	2367.562	630.253	1587.943	2349.056	349.569	1588.075	2340.079	269.417	1574.106	2329.721	360.097	1538.814	2318.814	281.347	1524.767	2273.358	165.842	1491.362	2256.176	123.123	1480.415	2274.89	126.939	1534.673	2209.037	743.816	1266.853	2195.87	635.943	1287.444	2145.838	755.928	1290.304	2127.837	649.936	1308.912	1969.282	298.098	1335.82	1938.141	225.435	1354.18	1941.489	321.786	1374.557	1905.556	246.3	1387.864	1842.064	176.625	1412.528	1812.149	143.501	1415.736	1843.761	133.577	1372.004																			2479.515	94.112	1513.436	2414.057	84.557	1600.354																									2010.554	45.904	1457.207	1972.557	49.506	1345.71				2443.787	129.241	1552.383
0.12	2340.304	1023.302	1585.231	2345.602	1007.025	1311.718	2168.058	1065.123	1496.884	2170.538	1063.376	1406.02	2279.146	1105.253	1617.517	2279.708	1099.099	1279.374	2349.21	748.585	1648.851	2412.022	659.613	1633.534	2300.9	720.449	1609.305	2364.031	632.821	1588.069	2358.398	342.872	1586.736	2353.779	262.51	1572.784	2338.828	352.427	1537.332	2332.594	273.155	1522.733	2293.32	154.913	1489.885	2278.589	111.234	1478.833	2297.059	116.198	1533.295	2205.931	748.718	1266.6	2189.949	640.661	1286.704	2143.178	762.052	1290.579	2123.078	656.403	1308.953	1960.901	304.187	1334.9	1928.718	231.658	1352.007	1933.495	327.599	1374.146	1897.383	252.196	1386.804	1834.932	185.855	1410.871	1803.376	154.379	1414.225	1834.439	142.519	1370.739																			2503.245	95.765	1512.567	2438.502	82.225	1599.296																									1996.341	46.858	1456.914	1958.656	51.469	1345.009				2465.392	128.504	1551.501
0.127	2341.417	1027.859	1585.49	2348.523	1010.399	1313.047	2169.88	1069.259	1496.117	2173.233	1067.209	1405.295	2279.24	1110.119	1617.146	2283.752	1102.538	1279.158	2347.908	751.345	1647.82	2409.126	661.241	1632.39	2298.737	723.686	1609.125	2360.075	634.817	1587.922	2367.478	336.447	1585.558	2367.817	256.342	1571.377	2347.929	345.083	1536.014	2345.479	265.918	1521.976	2312.802	144.733	1488.809	2300.918	100.07	1478.497	2318.905	106.391	1532.393	2203.097	753.38	1266.366	2185.213	645.564	1286.486	2140.848	767.967	1291.155	2118.768	662.737	1309.383	1953.37	310.316	1333.835	1920.931	237.79	1350.337	1926.293	333.367	1373.429	1889.967	257.9	1385.735	1828.381	195.333	1409.025	1795.312	165.515	1412.486	1825.878	151.78	1369.146																			2525.973	98.236	1511.565	2462.147	80.931	1598.386																									1982.38	48.106	1456.026	1945.375	53.997	1344.739				2486.251	128.661	1550.47
0.133	2342.517	1031.887	1585.69	2351.513	1013.928	1314.379	2171.669	1073.057	1495.333	2175.442	1070.502	1404.406	2279.306	1114.475	1616.97	2288.182	1106.176	1279.303	2346.182	753.492	1646.549	2405.736	662.134	1631.078	2296.276	726.414	1608.505	2355.839	636.288	1587.315	2376.279	330.331	1584.513	2380.538	250.167	1570.42	2356.701	338.167	1534.82	2358.615	259.334	1521.262	2331.776	135.439	1488.031	2322.501	90.131	1477.854	2340.287	97.459	1531.805	2200.573	757.841	1266.297	2180.798	650.404	1286.32	2138.892	773.485	1291.93	2115.056	668.658	1310.077	1946.571	316.128	1332.588	1913.974	243.487	1348.775	1919.669	338.978	1372.511	1883.06	263.575	1384.193	1822.579	204.905	1406.959	1787.941	176.843	1410.555	1817.959	161.22	1367.427																			2547.301	101.605	1510.411	2484.894	80.495	1597.325																									1969.076	50.181	1455.603	1932.313	56.96	1344.104				2505.91	129.491	1549.4
0.14	2343.792	1035.633	1585.804	2354.22	1017.476	1315.749	2173.475	1076.487	1494.603	2177.732	1073.841	1403.814	2279.378	1118.23	1616.954	2291.907	1109.294	1279.132	2344.159	754.976	1645.254	2401.959	662.344	1629.926	2293.721	728.716	1607.406	2350.291	637.406	1587.016	2384.698	324.615	1583.568	2392.877	244.721	1569.54	2365.13	331.544	1533.533	2370.989	252.98	1519.36	2350.185	126.835	1488.316	2343.322	81.263	1477.53	2360.604	89.718	1532.125	2198.39	761.998	1266.292	2177.137	654.996	1286.413	2137.345	778.618	1292.929	2111.994	674.161	1311.049	1940.515	321.765	1331.342	1907.305	249.395	1346.899	1913.748	344.621	1371.316	1876.693	269.336	1382.733	1817.148	214.418	1404.825	1781.18	188.238	1408.526	1810.41	170.768	1365.562																			2567.205	105.596	1509.159	2506.265	80.915	1596.503																									1956.195	52.807	1454.796	1919.586	60.264	1343.158				2524.5	131.002	1548.34
0.147	2345.16	1039.015	1585.715	2356.578	1020.863	1316.931	2175.18	1079.624	1493.939	2179.66	1076.686	1403.177	2279.43	1121.339	1617.086	2295.612	1112.21	1279.188	2341.872	755.653	1643.992	2397.838	661.82	1629.01	2291.135	730.465	1605.902	2347.123	637.992	1585.125	2392.4	319.28	1582.708	2404.155	239.917	1568.802	2372.695	325.541	1532.819	2382.145	247.324	1518.516	2367.37	119.41	1488.085	2362.989	73.492	1477.308	2380.294	82.8	1531.208	2196.704	765.711	1266.38	2174.067	658.833	1286.639	2136.485	783.263	1294.106	2109.677	679.123	1312.297	1935.039	327.521	1330.283	1901.221	255.32	1345.214	1908.284	350.311	1370.242	1870.884	275.187	1381.216	1812.37	223.91	1402.74	1775.008	199.582	1406.582	1803.338	180.352	1363.656																			2585.362	110.111	1507.706	2526.304	81.924	1595.468																									1942.733	55.413	1453.757	1907.309	64.028	1342.339				2541.505	132.874	1547.184
0.153	2346.711	1042.181	1585.641	2358.722	1023.96	1318.06	2176.74	1082.336	1493.229	2181.636	1079.213	1402.606	2279.55	1123.924	1617.383	2298.906	1114.993	1279.205	2339.386	755.541	1643.037	2393.448	660.566	1628.43	2288.573	731.581	1604.281	2342.867	638.052	1583.688	2399.355	314.354	1582.166	2414.61	235.482	1568.063	2379.586	319.905	1532.146	2392.318	242.162	1517.769	2383.36	112.896	1487.921	2381.208	66.755	1476.981	2398.489	76.87	1530.548	2195.712	768.88	1266.63	2171.589	662.312	1286.704	2136.298	787.271	1295.379	2108.198	683.479	1313.686	1929.889	333.219	1328.911	1895.601	261.083	1343.42	1903.486	355.883	1369.18	1865.498	280.94	1379.832	1808.049	233.273	1400.549	1769.46	210.781	1404.549	1796.871	189.883	1361.841																			2601.625	114.856	1506.206	2544.715	83.352	1594.271																									1930.24	58.63	1452.785	1895.421	68.14	1341.404				2556.993	135.064	1546.057
0.16	2348.43	1044.865	1585.408	2360.741	1026.624	1318.939	2178.191	1084.595	1492.666	2183.34	1081.431	1402.119	2279.806	1125.968	1617.776	2301.832	1117.581	1279.446	2336.717	754.652	1642.35	2389.032	658.643	1628.07	2286.058	731.963	1602.615	2338.97	637.583	1582.045	2405.56	309.635	1581.532	2423.962	231.582	1567.443	2385.528	314.642	1531.611	2401.323	237.45	1517.224	2397.841	107.132	1487.615	2397.938	61.046	1476.547	2414.843	71.884	1530.265	2195.551	771.406	1266.933	2170.321	665.188	1287.198	2136.738	790.523	1296.617	2107.629	687.082	1315.189	1925.4	338.502	1327.944	1890.819	266.257	1341.617	1899.353	361.238	1368.035	1860.659	286.63	1378.629	1804.119	242.253	1398.365	1764.452	221.578	1402.312	1791.139	199.22	1359.926																			2615.936	119.688	1504.589	2561.118	85.101	1592.892																									1918.224	62.231	1451.692	1884.044	72.254	1340.484				2570.562	137.519	1544.85
0.167	2350.221	1047.121	1584.941	2362.392	1028.713	1319.635	2179.555	1086.448	1492.311	2184.98	1083.299	1401.716	2280.226	1127.452	1618.181	2304.198	1119.87	1279.79	2333.889	752.95	1642.054	2384.701	656.04	1627.819	2283.625	731.64	1601.013	2335.391	636.59	1580.212	2411.237	305.412	1580.82	2432.237	228.115	1566.731	2390.351	309.891	1531.217	2408.966	233.357	1516.704	2410.611	102.294	1487.018	2412.743	56.191	1475.828	2429.345	67.726	1529.645	2196.154	773.147	1267.194	2169.979	667.093	1287.527	2137.91	792.835	1297.527	2107.927	689.703	1316.478	1921.467	343.543	1326.593	1885.75	271.831	1339.924	1895.74	366.282	1367.029	1856.245	292.126	1377.144	1800.506	250.885	1396.226	1759.876	232.12	1400.35	1785.564	208.264	1358.249																			2628.111	124.584	1502.779	2575.334	87.066	1591.47																									1906.878	66.057	1450.262	1872.877	76.358	1339.448				2582.207	139.898	1543.359
