Time	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z
0	3.865511	-29.285014	-21.824134	-0.044555	33.912395	10.493676	-3.796144	-4.855699	-12.979885	5.536741	-29.675561	-21.415262	1.206113	35.099071	12.307143	-2.839821	-4.012033	-14.351836	4.177936	-31.330085	-20.991161	0.558031	33.899871	10.449680	-6.042550	-5.756559	-14.956640	4.248229	-28.907630	-21.634517	-1.358676	33.125202	7.629127	-4.549590	-6.039026	-12.214738	4.544518	-27.887443	-20.555265	-0.462345	33.472466	9.356758	-4.935968	-5.571871	-15.178737	3.264610	-27.912379	-24.458843	0.271309	34.284214	10.500756	-3.907446	-5.554552	-14.574484	4.026845	-28.812478	-21.483489	-1.043948	34.583848	8.546064	-3.057418	-5.310984	-12.653519	3.701698	-28.014596	-22.774735	-0.039743	35.701478	9.631949	-3.936059	-6.059468	-13.648074	4.382767	-29.295460	-22.193302	0.247216	33.567253	11.687545	-3.888387	-5.316014	-13.831464	4.562044	-27.952731	-21.001031	0.525434	33.807983	11.632514	-3.307477	-5.152282	-14.017739	3.349682	-28.140186	-19.681962	-0.121112	33.557445	11.147588	-3.078454	-5.494131	-13.152980	4.307257	-28.100872	-21.133388	0.955757	34.408448	13.215308	-2.856774	-4.728666	-15.150746	3.043452	-26.667242	-22.661294	-0.008883	36.210878	9.940998	-2.482324	-3.581284	-15.119452	5.458686	-28.095560	-22.551452	-1.224178	33.298707	8.023681	-0.254648	-1.671834	-13.763740	5.273319	-29.939967	-20.783049	-0.480129	32.437427	9.644765	-0.883916	-2.409305	-12.253515	3.955016	-28.968114	-20.842028	-0.229407	34.230332	9.878293	-2.316121	-4.088423	-12.661698	3.884257	-29.408058	-20.063640	-0.224424	34.531230	9.503499	-2.786572	-4.875699	-10.929494	3.579538	-26.735795	-21.551322	-0.303155	35.031146	9.605356	-2.669491	-4.665155	-12.972323	3.969886	-30.210063	-21.653291	-0.202497	33.544007	9.484224	-0.775167	-3.620674	-12.265742	4.065439	-27.760253	-20.588536	-0.430976	35.470910	8.817930	-4.670881	-5.816549	-13.538297	2.683566	-28.190481	-21.566895	0.163985	33.954397	10.864138	-4.606142	-6.815189	-12.975388
1	3.174198	-29.503553	-21.503965	0.346763	32.977846	12.105847	-2.665470	-4.121469	-12.154416	4.899720	-29.936403	-21.063903	1.685387	34.604202	13.779175	-1.913020	-3.380747	-13.669172	3.497634	-31.449850	-20.700141	1.027151	33.137467	12.012754	-5.481836	-5.241179	-14.629065	3.545550	-29.089031	-21.324229	-0.871991	32.130894	9.426812	-3.635500	-5.432055	-11.649751	3.944440	-28.109482	-20.257555	-0.111528	32.787102	10.788911	-3.936833	-5.000696	-14.463798	2.726825	-28.278084	-24.039173	0.724347	33.628525	12.078164	-2.665774	-4.919551	-13.905534	3.386241	-29.169839	-21.148608	-0.641276	33.873439	10.076234	-1.778028	-4.598641	-11.723932	2.626260	-28.222295	-22.594134	0.459597	34.704334	10.953558	-2.582619	-5.408566	-12.895594	3.761194	-29.521666	-21.855325	0.608144	32.769718	13.194567	-2.841225	-4.716889	-13.057434	3.831501	-27.846471	-20.437593	0.926902	33.036807	12.979835	-2.532749	-4.581086	-13.486593	2.635788	-27.848563	-19.337030	0.160341	32.679312	12.597128	-1.483231	-4.805616	-11.906902	3.515951	-28.132949	-20.616657	1.221698	33.709938	14.256635	-1.988944	-4.404535	-14.606237	2.546873	-26.808220	-22.269212	0.372236	35.542399	11.296918	-0.886564	-2.371440	-14.344938	5.015826	-28.141869	-22.328048	-0.806955	32.740527	9.505250	0.379398	-1.353769	-12.867038	4.726448	-29.989038	-20.626854	-0.018653	31.675374	11.406572	-0.300892	-1.780244	-11.477026	3.392038	-29.298117	-20.469561	0.201836	33.705534	11.464494	-1.014159	-3.365770	-11.845737	3.334027	-29.435567	-19.819908	0.218734	33.821942	11.240078	-1.551902	-4.298692	-10.061155	3.032567	-27.086635	-21.262726	0.158244	34.343969	11.121310	-1.117765	-3.756899	-12.164293	3.306652	-30.386491	-21.298720	0.237107	32.953679	11.113405	0.525734	-3.087490	-11.327298	3.550935	-28.100671	-20.252827	0.073933	34.940919	10.361023	-3.397995	-5.213935	-13.061627	2.010875	-28.407129	-21.234978	0.513937	33.132289	12.331571	-3.155018	-6.105746	-11.994128
2	2.509337	-29.676020	-21.351479	0.679204	31.945487	13.944495	-1.191659	-3.263276	-11.046854	4.198030	-30.128048	-20.841964	2.203226	33.905115	15.498124	-0.730461	-2.620073	-12.693269	2.803246	-31.438481	-20.497065	1.455160	32.168103	13.762722	-4.515934	-4.508555	-13.939600	2.831044	-29.194549	-21.059721	-0.490857	30.885539	11.365067	-2.284394	-4.567715	-10.663009	3.314861	-28.235875	-20.057342	0.211497	31.908039	12.430616	-2.522694	-4.214431	-13.395377	2.187483	-28.617114	-23.693465	1.157348	32.830941	13.874706	-1.124834	-4.109089	-12.942224	2.698596	-29.469809	-20.907080	-0.229993	32.985671	11.882276	-0.171285	-3.680493	-10.551048	1.450977	-28.458883	-22.554852	0.984784	33.540454	12.529972	-0.870178	-4.530326	-11.839036	3.112084	-29.656938	-21.573134	0.931463	31.855234	14.920583	-1.475889	-3.967691	-12.031049	3.123154	-27.744318	-19.870027	1.276840	32.159343	14.521045	-1.424709	-3.860349	-12.589341	1.918337	-27.553758	-19.070441	0.457376	31.769673	14.288652	0.394645	-4.035403	-10.471347	2.704701	-28.148029	-20.130775	1.479761	32.850932	15.464307	-0.821882	-3.910812	-13.758422	2.035228	-26.906874	-21.928124	0.766121	34.756194	12.919166	0.984109	-1.034350	-13.292700	4.518938	-28.161050	-22.157934	-0.358788	32.052059	11.258890	1.285679	-0.920284	-11.646455	4.129062	-29.921494	-20.566249	0.440904	30.818057	13.365276	0.564200	-1.050043	-10.428870	2.769815	-29.499290	-20.170391	0.669304	33.055159	13.279722	0.548415	-2.560376	-10.801195	2.766103	-29.344974	-19.678162	0.646854	33.006339	13.182971	-0.074555	-3.625723	-9.008062	2.479752	-27.429275	-21.064892	0.669112	33.643539	12.901015	0.656953	-2.765282	-11.121900	2.583566	-30.481511	-21.027693	0.734732	32.271059	12.961412	2.041655	-2.427592	-10.147039	2.986882	-28.377571	-19.968489	0.579654	34.264186	12.098865	-1.762020	-4.458549	-12.258782	1.337699	-28.557724	-20.956488	0.852711	32.224886	13.983619	-1.371089	-5.240772	-10.737517
3	1.856920	-29.803938	-21.338008	0.918454	30.933342	15.967525	0.602358	-2.358729	-9.716912	3.437730	-30.245861	-20.768459	2.718759	33.042781	17.446811	0.672619	-1.802690	-11.458297	2.097733	-31.274762	-20.350505	1.754956	31.050959	15.618156	-3.053827	-3.598406	-12.826961	2.124332	-29.235958	-20.856101	-0.287335	29.524214	13.383538	-0.481406	-3.535537	-9.239700	2.663276	-28.251600	-19.966181	0.449130	30.904645	14.249229	-0.669320	-3.254511	-11.959933	1.655988	-28.890772	-23.451230	1.511736	31.930861	15.853246	0.664514	-3.167483	-11.690956	1.966982	-29.658262	-20.760971	0.131546	31.969274	13.939395	1.703031	-2.629823	-9.198249	0.213817	-28.724209	-22.655136	1.470491	32.310055	14.342931	1.148614	-3.485015	-10.507105	2.433442	-29.691006	-21.347161	1.188157	30.907473	16.824991	0.200053	-3.133659	-10.786960	2.466637	-27.671064	-19.330380	1.516279	31.267888	16.232669	0.040723	-3.025845	-11.316647	1.222990	-27.282195	-18.919354	0.758951	30.927687	16.230730	2.439929	-3.284430	-8.995490	1.911409	-28.153543	-19.689272	1.683277	31.902986	16.814714	0.600141	-3.281768	-12.625136	1.509506	-26.938608	-21.644087	1.133878	33.914873	14.791459	3.025173	0.289792	-11.990854	3.957217	-28.146865	-22.029112	0.060136	31.271398	13.251759	2.478648	-0.403810	-10.121009	3.492048	-29.750997	-20.591455	0.865387	29.988528	15.462556	1.718045	-0.320281	-9.158568	2.089840	-29.533579	-19.944524	1.142538	32.322613	15.273474	2.308692	-1.765490	-9.577181	2.174082	-29.114771	-19.619274	1.035696	32.154118	15.279378	1.589018	-2.966215	-7.853773	1.923127	-27.727546	-20.959986	1.199738	32.981077	14.909716	2.544955	-1.795037	-9.902149	1.820862	-30.491556	-20.850881	1.262692	31.571767	15.001811	3.649305	-1.736733	-8.803773	2.367093	-28.560919	-19.727926	1.029780	33.472055	13.970377	0.216800	-3.592899	-11.099827	0.675445	-28.636297	-20.726770	1.144366	31.321768	15.779997	0.691738	-4.292691	-9.267093
4	1.195420	-29.909097	-21.386888	1.109298	30.054361	18.091619	2.524359	-1.511997	-8.367955	2.647416	-30.307402	-20.808458	3.210798	32.130076	19.547942	2.162492	-1.014070	-10.152615	1.384639	-31.004691	-20.230731	1.923103	29.928240	17.494195	-1.219136	-2.636338	-11.443196	1.427482	-29.261593	-20.715993	-0.207979	28.257305	15.435217	1.566113	-2.522226	-7.616348	1.988036	-28.197664	-19.920506	0.609857	29.920372	16.155352	1.423965	-2.257955	-10.353962	1.132138	-29.089769	-23.297122	1.791965	31.029041	17.933444	2.538005	-2.202985	-10.323047	1.214296	-29.736093	-20.682324	0.438563	30.948401	16.144374	3.653867	-1.583943	-7.840182	-0.979767	-28.984714	-22.828411	1.881121	31.141121	16.313331	3.276809	-2.401260	-9.090095	1.735351	-29.651426	-21.179613	1.406733	30.023135	18.835627	2.033673	-2.318908	-9.485927	1.856072	-27.635943	-18.848859	1.661587	30.472038	18.058201	1.717865	-2.173466	-9.868256	0.560021	-27.039313	-18.883809	1.069583	30.194611	18.357534	4.453691	-2.607911	-7.678599	1.167160	-28.160214	-19.316385	1.828035	30.979010	18.268961	2.128862	-2.603383	-11.383609	0.971256	-26.907425	-21.412127	1.477977	33.110536	16.826373	5.046458	1.463058	-10.600706	3.348050	-28.112479	-21.926467	0.433796	30.512374	15.382001	3.824564	0.112918	-8.490309	2.839526	-29.534353	-20.671411	1.263235	29.296725	17.619802	3.024152	0.311591	-7.848198	1.382882	-29.441664	-19.773776	1.605404	31.588284	17.358319	4.114026	-1.048480	-8.334269	1.562630	-28.785034	-19.607141	1.404083	31.348700	17.458512	3.294525	-2.407597	-6.764398	1.366630	-27.965297	-20.925824	1.728211	32.379853	17.051448	4.396603	-0.913672	-8.665191	1.059257	-30.451099	-20.752172	1.795201	30.932721	17.169187	5.195011	-1.100309	-7.493397	1.710575	-28.675353	-19.521903	1.423758	32.672933	15.897164	2.346344	-2.716935	-9.754154	0.026276	-28.669012	-20.539497	1.395265	30.503514	17.662979	2.850992	-3.356027	-7.780945
5	0.514840	-29.980102	-21.501828	1.317621	29.423158	20.337878	4.398879	-0.834402	-7.249926	1.844384	-30.288101	-20.970816	3.669091	31.232936	21.825569	3.634270	-0.317202	-8.988329	0.660888	-30.652434	-20.145504	1.977690	28.934270	19.375569	0.910110	-1.734281	-9.930187	0.719569	-29.301217	-20.655228	-0.183589	27.302124	17.552138	3.691447	-1.716052	-6.049961	1.265634	-28.075029	-19.869454	0.715524	29.096593	18.146728	3.611323	-1.360968	-8.773664	0.615649	-29.174865	-23.239471	2.010381	30.218958	20.116140	4.358710	-1.312700	-9.021811	0.456716	-29.664912	-20.689162	0.709301	30.043729	18.503811	5.514825	-0.673352	-6.692770	-1.941132	-29.145521	-22.972035	2.163155	30.148256	18.462091	5.346757	-1.392595	-7.803658	1.010117	-29.520913	-21.098478	1.633063	29.275627	20.967745	3.891147	-1.624934	-8.325895	1.273276	-27.644037	-18.464005	1.748728	29.875401	20.022367	3.480752	-1.394264	-8.461421	-0.059059	-26.812712	-19.017140	1.406851	29.590604	20.726306	6.232327	-2.034267	-6.805331	0.502873	-28.167354	-19.071308	1.916971	30.173815	19.872085	3.653789	-1.932404	-10.234643	0.409055	-26.791067	-21.243169	1.825781	32.421206	19.027787	6.853006	2.336614	-9.306982	2.695077	-28.056957	-21.865630	0.768627	29.900557	17.651397	5.216607	0.549725	-6.977321	2.180421	-29.274798	-20.819517	1.655269	28.840564	19.845341	4.373623	0.742939	-6.721461	0.669909	-29.210096	-19.679348	2.055539	30.902778	19.540797	5.826554	-0.468957	-7.278180	0.934392	-28.357065	-19.641064	1.785317	30.652163	19.732207	4.898158	-2.021820	-5.969453	0.812790	-28.096281	-20.985704	2.245633	31.850236	19.336883	6.062629	-0.173617	-7.614985	0.339631	-30.348740	-20.763212	2.315838	30.412493	19.509619	6.533216	-0.574164	-6.476274	1.024344	-28.715691	-19.377393	1.782898	31.962714	17.888825	4.460095	-1.925402	-8.399372	-0.613826	-28.629457	-20.420896	1.617734	29.828855	19.669717	4.948539	-2.509025	-6.529126
6	-0.176127	-29.985611	-21.685620	1.601898	28.998206	22.709124	6.077485	-0.341297	-6.524697	1.052286	-30.171292	-21.212223	4.102178	30.381790	24.256910	4.984618	0.279645	-8.150580	-0.075937	-30.268821	-20.108585	2.014866	28.141764	21.292167	3.096401	-0.980615	-8.539408	-0.017798	-29.339654	-20.671373	-0.104854	26.682736	19.788414	5.680847	-1.182159	-4.816019	0.503636	-27.891955	-19.802101	0.836528	28.464349	20.230264	5.684790	-0.642237	-7.440082	0.110852	-29.133602	-23.266477	2.216990	29.532626	22.394450	6.011992	-0.558917	-7.977783	-0.288139	-29.468836	-20.767524	0.996984	29.293522	20.981298	7.169552	0.053687	-5.893372	-2.562777	-29.109408	-22.952377	2.324564	29.346631	20.757133	7.206295	-0.541314	-6.846052	0.253228	-29.297086	-21.092881	1.917343	28.654148	23.221705	5.620894	-1.094643	-7.481651	0.692886	-27.665849	-18.214485	1.860254	29.470215	22.153364	5.139464	-0.746976	-7.355482	-0.649595	-26.561528	-19.283983	1.769860	29.038703	23.294625	7.703939	-1.517939	-6.440453	-0.103489	-28.154875	-18.936240	1.982332	29.508426	21.634218	5.068073	-1.311781	-9.371320	-0.177389	-26.581640	-21.133469	2.210825	31.845962	21.372276	8.340962	2.912429	-8.290547	2.020233	-27.967580	-21.856774	1.101366	29.467911	20.042411	6.523603	0.874860	-5.781114	1.516634	-28.954736	-21.024294	2.066984	28.564416	22.154793	5.633752	0.982888	-5.951751	-0.032724	-28.859909	-19.653037	2.501362	30.262584	21.821042	7.352393	-0.013258	-6.560129	0.300356	-27.851288	-19.715910	2.211358	30.056062	22.103691	6.294356	-1.788534	-5.597287	0.260904	-28.101569	-21.131067	2.749616	31.346662	21.752934	7.479610	0.454750	-6.905804	-0.319849	-30.170950	-20.867757	2.810988	29.975078	22.011751	7.639540	-0.134481	-5.887385	0.327600	-28.678657	-19.314156	2.157928	31.366154	19.977623	6.387681	-1.264250	-7.271862	-1.264286	-28.498766	-20.354276	1.842812	29.265004	21.809374	6.852110	-1.776742	-5.681018
7	-0.864312	-29.824914	-21.948976	2.004159	28.724877	25.237553	7.399403	-0.058009	-6.422440	0.295625	-29.890839	-21.506070	4.505980	29.580594	26.863799	6.097046	0.757309	-7.885928	-0.828657	-29.866969	-20.143821	2.126920	27.595590	23.311162	5.114824	-0.452533	-7.550354	-0.783952	-29.308803	-20.816817	0.134318	26.422663	22.253005	7.309884	-0.983476	-4.264320	-0.282135	-27.597711	-19.753142	1.047943	28.056386	22.489545	7.413134	-0.201933	-6.673700	-0.371331	-28.899131	-23.395195	2.448841	28.986290	24.801262	7.368686	-0.012428	-7.437760	-0.999356	-29.110204	-20.924294	1.352436	28.736956	23.596762	8.456546	0.521738	-5.697762	-2.818433	-28.769966	-22.742812	2.407753	28.755197	23.230904	8.677712	0.063873	-6.483409	-0.533098	-28.943970	-21.164663	2.306536	28.134271	25.630043	7.062406	-0.767185	-7.179354	0.108190	-27.658335	-18.186423	2.070753	29.221991	24.533587	6.514227	-0.274109	-6.834373	-1.217833	-26.224398	-19.671717	2.144288	28.462965	26.069080	8.726552	-1.024716	-6.777710	-0.683987	-28.069609	-18.867716	2.056260	28.993307	23.586206	6.248417	-0.787666	-9.025735	-0.778191	-26.233076	-21.106182	2.658574	31.358439	23.881774	9.380975	3.189955	-7.789705	1.335898	-27.786132	-21.913394	1.464258	29.234136	22.590725	7.607895	1.051518	-5.183351	0.834671	-28.507825	-21.257022	2.514349	28.410420	24.585247	6.662785	1.025763	-5.795167	-0.712698	-28.347627	-19.680690	2.941820	29.642815	24.233298	8.563092	0.309095	-6.417722	-0.327983	-27.258127	-19.832028	2.709066	29.537163	24.584691	7.359000	-1.688374	-5.808540	-0.298952	-27.913163	-21.349854	3.228671	30.819261	24.324649	8.533277	0.973724	-6.776668	-0.886508	-29.842293	-21.071015	3.247245	29.578316	24.711842	8.431983	0.224529	-5.979128	-0.360598	-28.501471	-19.376185	2.591654	30.879455	22.249769	7.942378	-0.778330	-6.669786	-1.952163	-28.226224	-20.299442	2.095116	28.790193	24.113272	8.391022	-1.188356	-5.488763
8	-1.536601	-29.453599	-22.245391	2.482705	28.466099	27.859949	8.385153	0.094582	-6.868957	-0.415780	-29.449195	-21.802116	4.877523	28.801738	29.577851	6.966504	1.149042	-8.174010	-1.586400	-29.441768	-20.240820	2.362966	27.217552	25.466807	6.805528	-0.125659	-7.112840	-1.542476	-29.154714	-21.095639	0.537281	26.356407	24.928142	8.546152	-1.005077	-4.394312	-1.051352	-27.178499	-19.761506	1.357201	27.756939	24.915803	8.770036	0.030081	-6.487783	-0.837724	-28.471550	-23.575258	2.714248	28.510509	27.297411	8.439115	0.359105	-7.419954	-1.672960	-28.610614	-21.112678	1.765700	28.284485	26.288179	9.418362	0.803623	-6.035953	-2.922997	-28.203705	-22.507545	2.519841	28.285235	25.846432	9.762603	0.462184	-6.707396	-1.325454	-28.458653	-21.277533	2.785530	27.642310	28.155047	8.176927	-0.586334	-7.433614	-0.481591	-27.563603	-18.375562	2.394575	28.998299	27.146668	7.542011	0.067308	-6.964353	-1.777375	-25.797077	-20.096199	2.496838	27.815521	28.923693	9.400106	-0.522384	-7.627572	-1.270608	-27.860969	-18.804855	2.166133	28.571482	25.679283	7.158791	-0.376559	-9.215568	-1.366943	-25.737151	-21.162941	3.150732	30.890461	26.514771	10.015889	3.277182	-7.846243	0.659297	-27.465010	-22.005312	1.856725	29.100152	25.255839	8.450809	1.115016	-5.188307	0.125663	-27.922089	-21.451227	2.982031	28.265667	27.091742	7.437108	0.961366	-6.211466	-1.359426	-27.690575	-19.718313	3.366773	29.008236	26.738750	9.472894	0.545032	-6.817316	-0.943039	-26.586373	-19.959890	3.259290	29.031227	27.120443	8.099470	-1.652673	-6.526152	-0.883700	-27.546098	-21.561106	3.674717	30.243017	26.981432	9.268340	1.413303	-7.189602	-1.379576	-29.360197	-21.311704	3.616060	29.161416	27.512446	8.988677	0.542240	-6.621232	-1.022157	-28.150181	-19.542534	3.076045	30.412905	24.708179	9.112807	-0.419696	-6.653464	-2.673230	-27.819066	-20.203046	2.371540	28.345500	26.516121	9.562537	-0.699250	-5.888145
9	-2.177087	-28.832162	-22.505627	2.990196	28.120969	30.482853	9.012719	0.169766	-7.854452	-1.060276	-28.843026	-22.041100	5.191996	28.037380	32.316747	7.563251	1.467670	-9.045664	-2.327478	-28.973774	-20.380903	2.733326	26.918529	27.763451	8.052339	0.044446	-7.337737	-2.240347	-28.799867	-21.515081	1.082072	26.334670	27.763938	9.331272	-1.160840	-5.246842	-1.759484	-26.567527	-19.863315	1.763197	27.460013	27.506010	9.652408	0.083194	-7.025052	-1.304974	-27.821191	-23.740905	3.010309	28.044497	29.822576	9.194968	0.560473	-7.990695	-2.293917	-27.918673	-21.272991	2.210745	27.864072	28.978248	10.009542	0.913295	-6.967374	-2.996102	-27.447237	-22.330229	2.721523	27.879340	28.543861	10.415987	0.667040	-7.556882	-2.087962	-27.820706	-21.372825	3.307342	27.108402	30.723663	8.932172	-0.486490	-8.252581	-1.075513	-27.291079	-18.734251	2.806734	28.658769	29.932819	8.188145	0.316917	-7.771104	-2.328097	-25.290311	-20.480577	2.784991	27.081165	31.724648	9.718754	-0.009716	-8.957712	-1.876146	-27.453256	-18.703252	2.333588	28.183424	27.839103	7.765412	-0.108597	-9.940677	-1.912772	-25.074605	-21.302852	3.649167	30.381528	29.201007	10.274986	3.247680	-8.492482	0.022608	-26.905718	-22.113285	2.256168	28.960342	27.987818	9.014321	1.083094	-5.870199	-0.617581	-27.173587	-21.515458	3.436162	28.034442	29.592437	7.909154	0.856412	-7.219172	-1.941066	-26.874335	-19.733033	3.745356	28.326562	29.277777	10.049908	0.717979	-7.781090	-1.538063	-25.826162	-20.047419	3.813744	28.468211	29.619122	8.523608	-1.622795	-7.681199	-1.511327	-26.988182	-21.661451	4.063117	29.603957	29.623163	9.671530	1.765879	-8.161612	-1.802126	-28.669901	-21.520045	3.878381	28.659876	30.298250	9.306247	0.833360	-7.822576	-1.639108	-27.546743	-19.787671	3.574427	29.860795	27.342649	9.847175	-0.151559	-7.320854	-3.397006	-27.261081	-20.011699	2.648483	27.887382	28.931506	10.313817	-0.281070	-6.881180
10	-2.782314	-28.066366	-22.658156	3.469115	27.674112	32.993621	9.396917	0.235645	-9.168014	-1.635253	-28.141138	-22.169138	5.431266	27.289460	34.962749	7.970405	1.747831	-10.292214	-3.020356	-28.459599	-20.525115	3.176804	26.594776	30.125077	8.891464	0.158446	-8.113679	-2.849945	-28.247171	-21.987746	1.649845	26.211953	30.603056	9.805592	-1.319098	-6.562119	-2.397947	-25.807963	-20.016893	2.199816	27.078786	30.134052	10.205932	0.072025	-8.043673	-1.789351	-27.028215	-23.820511	3.321745	27.549375	32.273543	9.724936	0.651051	-8.972135	-2.867567	-27.090389	-21.349223	2.639396	27.420777	31.562544	10.365758	0.931903	-8.247198	-3.108795	-26.598025	-22.186681	2.997506	27.478810	31.180892	10.766223	0.755807	-8.805198	-2.785296	-27.051851	-21.389256	3.794119	26.500250	33.225248	9.403544	-0.386000	-9.480148	-1.660166	-26.771133	-19.111216	3.225722	28.110805	32.724196	8.543848	0.522645	-9.057406	-2.862279	-24.779293	-20.768424	3.003807	26.327227	34.357988	9.841956	0.491764	-10.524988	-2.490882	-26.837878	-18.532745	2.553437	27.781189	29.948082	8.132737	0.023623	-11.042497	-2.408552	-24.278619	-21.468295	4.107879	29.803996	31.821993	10.278939	3.167639	-9.578602	-0.553842	-26.118043	-22.209501	2.629152	28.727544	30.679987	9.374400	1.009789	-7.022815	-1.377004	-26.313291	-21.401226	3.829237	27.679346	31.981724	8.159487	0.782452	-8.602222	-2.447432	-25.939838	-19.696138	4.046767	27.591899	31.748267	10.394629	0.870279	-9.103566	-2.105547	-24.997787	-20.042596	4.302708	27.815052	31.981557	8.724359	-1.545878	-9.108312	-2.167749	-26.299471	-21.597809	4.379282	28.916278	32.140074	9.856328	2.053919	-9.485288	-2.192450	-27.811977	-21.634042	4.033907	28.049186	32.948411	9.492317	1.122342	-9.326506	-2.212849	-26.716819	-20.036343	4.022857	29.162491	30.026034	10.273880	0.094558	-8.467974	-4.074722	-26.602677	-19.720731	2.884842	27.390602	31.256583	10.763612	0.115466	-8.242703
11	-3.332589	-27.259200	-22.599855	3.852989	27.143629	35.259180	9.593226	0.341971	-10.699691	-2.122246	-27.386315	-22.119866	5.551865	26.576613	37.389996	8.228551	2.013325	-11.809314	-3.625912	-27.916660	-20.624074	3.613766	26.200150	32.452092	9.377124	0.294721	-9.330080	-3.336026	-27.480095	-22.387496	2.094461	25.881810	33.267575	10.056875	-1.348785	-8.200354	-2.932196	-24.941908	-20.154445	2.608809	26.582416	32.644953	10.450524	0.061997	-9.476903	-2.289665	-26.167821	-23.731921	3.632996	27.032706	34.526935	10.060464	0.654161	-10.278887	-3.369167	-26.177600	-21.246974	3.002887	26.967611	33.881145	10.520051	0.881885	-9.782263	-3.286281	-25.719812	-22.003388	3.316582	27.064367	33.595503	10.873321	0.763239	-10.327765	-3.373621	-26.203135	-21.262709	4.157852	25.836345	35.533499	9.659263	-0.214032	-10.981674	-2.209080	-25.973535	-19.357398	3.572581	27.333966	35.349245	8.689350	0.712810	-10.660527	-3.347308	-24.324484	-20.860180	3.122165	25.630873	36.661217	9.828933	0.954479	-12.230241	-3.090928	-26.044331	-18.253423	2.807795	27.356940	31.873261	8.326422	0.031171	-12.385240	-2.860992	-23.420512	-21.546593	4.484250	29.176397	34.228496	10.126667	3.068116	-10.964722	-1.044562	-25.107450	-22.230491	2.927892	28.335285	33.187115	9.562925	0.942043	-8.536154	-2.112490	-25.387342	-21.026944	4.077319	27.175222	34.126246	8.229714	0.815413	-10.242506	-2.852587	-24.905866	-19.550851	4.198360	26.804180	34.012812	10.558719	1.051607	-10.671043	-2.623710	-24.152258	-19.884274	4.644108	27.082900	34.101163	8.774943	-1.368487	-10.686755	-2.820577	-25.513881	-21.296900	4.575366	28.187023	34.400547	9.887029	2.298018	-11.044595	-2.566022	-26.772652	-21.550514	4.027222	27.287175	35.302452	9.589099	1.428857	-11.035808	-2.734867	-25.672304	-20.197573	4.341407	28.284603	32.611468	10.457684	0.366044	-9.984488	-4.651647	-25.891433	-19.303505	3.020706	26.849945	33.368565	10.970060	0.521579	-9.851066
