PercGcycle	RhipAngX25	RhipAngY25	RhipAngZ25	RkneeAngX25	RkneeAngY25	RkneeAngZ25	RankleAngX25	RankleAngY25	RankleAngZ25	RhipMomX25	RhipMomY25	RhipMomZ25	RkneeMomX25	RkneeMomY25	RkneeMomZ25	RankleMomX25	RankleMomY25	RankleMomZ25	RgrfX25	RgrfY25	RgrfZ25	RhipPow25	RkneePow25	RanklePow25	RhipAngX35	RhipAngY35	RhipAngZ35	RkneeAngX35	RkneeAngY35	RkneeAngZ35	RankleAngX35	RankleAngY35	RankleAngZ35	RhipMomX35	RhipMomY35	RhipMomZ35	RkneeMomX35	RkneeMomY35	RkneeMomZ35	RankleMomX35	RankleMomY35	RankleMomZ35	RgrfX35	RgrfY35	RgrfZ35	RhipPow35	RkneePow35	RanklePow35	RhipAngX45	RhipAngY45	RhipAngZ45	RkneeAngX45	RkneeAngY45	RkneeAngZ45	RankleAngX45	RankleAngY45	RankleAngZ45	RhipMomX45	RhipMomY45	RhipMomZ45	RkneeMomX45	RkneeMomY45	RkneeMomZ45	RankleMomX45	RankleMomY45	RankleMomZ45	RgrfX45	RgrfY45	RgrfZ45	RhipPow45	RkneePow45	RanklePow45	LhipAngX25	LhipAngY25	LhipAngZ25	LkneeAngX25	LkneeAngY25	LkneeAngZ25	LankleAngX25	LankleAngY25	LankleAngZ25	LhipMomX25	LhipMomY25	LhipMomZ25	LkneeMomX25	LkneeMomY25	LkneeMomZ25	LankleMomX25	LankleMomY25	LankleMomZ25	LgrfX25	LgrfY25	LgrfZ25	LhipPow25	LkneePow25	LanklePow25	LhipAngX35	LhipAngY35	LhipAngZ35	LkneeAngX35	LkneeAngY35	LkneeAngZ35	LankleAngX35	LankleAngY35	LankleAngZ35	LhipMomX35	LhipMomY35	LhipMomZ35	LkneeMomX35	LkneeMomY35	LkneeMomZ35	LankleMomX35	LankleMomY35	LankleMomZ35	LgrfX35	LgrfY35	LgrfZ35	LhipPow35	LkneePow35	LanklePow35	LhipAngX45	LhipAngY45	LhipAngZ45	LkneeAngX45	LkneeAngY45	LkneeAngZ45	LankleAngX45	LankleAngY45	LankleAngZ45	LhipMomX45	LhipMomY45	LhipMomZ45	LkneeMomX45	LkneeMomY45	LkneeMomZ45	LankleMomX45	LankleMomY45	LankleMomZ45	LgrfX45	LgrfY45	LgrfZ45	LhipPow45	LkneePow45	LanklePow45
0	2.569402	-1.527179	33.409128	7.562831	-17.91991	6.68153	10.348667	6.611019	-3.053469	-0.081471	-0.062899	-0.706154	0.044092	0.002114	-0.4861	0.036981	0.052571	0.115889	-0.40517	0.815714	0.212846	1.042676	-0.388207	0.024196	3.957889	-1.93244	39.831707	8.483339	-19.830053	5.987662	13.654038	8.641059	-6.369899	-0.103377	-0.116997	-1.026044	0.042668	-0.027425	-0.680227	0.065363	0.055314	0.158429	-0.373242	0.771722	0.175391	1.965441	-0.522005	0.138537	5.415331	-1.188204	45.928197	8.332368	-20.152549	10.67367	13.900085	9.718921	-3.764859	-0.175161	-0.165634	-1.425557	0.035248	-0.067275	-0.818353	0.091162	0.027795	0.173103	-0.397823	0.947341	0.186961	4.153267	-0.574105	0.41558	4.732978	-0.031712	33.159436	3.894807	-17.87842	10.686026	11.105473	11.785605	1.512827	0.098882	-0.016398	-0.764864	0.089812	0.02427	-0.444176	0.032601	0.073772	0.099009	-0.246687	0.788384	0.177246	1.040291	0.336788	0.15148	6.671383	-1.075232	40.046021	4.053403	-20.369804	11.726718	12.891094	13.027324	3.040976	0.145889	0.030799	-1.002967	0.109826	0.085289	-0.58281	0.028514	0.142822	0.11788	-0.262413	0.829913	0.155792	1.56698	0.405314	0.361466	7.954294	-3.156074	44.696447	3.933096	-20.948321	13.01666	14.336588	14.484189	4.544593	0.083162	0.051837	-1.357631	0.141637	0.139115	-0.759879	0.02749	0.198027	0.119182	-0.322903	0.924244	0.132132	3.311292	0.170245	0.426999
1	2.977466	-0.774662	33.001848	7.932905	-18.800926	6.774461	10.095235	6.583776	-3.113754	0.084432	-0.06047	-0.704717	0.160078	0.00444	-0.464757	0.05721	0.077452	0.121528	-0.695621	2.278026	0.407896	0.47421	0.417084	0.097986	4.320563	-1.202268	39.318151	8.830139	-20.848831	6.19862	13.538075	8.760814	-6.723331	0.050051	-0.12756	-1.082446	0.169847	-0.040074	-0.64816	0.092848	0.06397	0.132945	-0.743964	2.380067	0.349197	1.134812	0.829941	0.174119	5.655978	-0.552525	45.067927	8.77617	-21.235984	10.9149	13.734294	9.934432	-4.533106	-0.03554	-0.187536	-1.506565	0.171551	-0.089332	-0.739514	0.120432	0.016317	0.109747	-0.798527	2.660324	0.337862	3.346159	0.773474	0.318813	5.108938	0.749384	32.620647	4.046688	-18.072239	11.294053	10.548874	11.452966	1.23719	0.269166	-0.02807	-0.765056	0.177391	0.013888	-0.407876	0.051911	0.084168	0.129588	-0.469164	2.214431	0.3832	0.626418	0.789206	0.254842	7.024126	-0.200756	39.422039	4.196848	-20.50693	12.307208	12.318952	12.516174	2.359246	0.280934	0.015565	-1.049223	0.189135	0.067161	-0.531492	0.041225	0.1354	0.116848	-0.553709	2.423201	0.344043	1.076897	1.09379	0.555348	8.193006	-2.544403	43.864393	4.054034	-21.174332	13.427965	13.775196	14.246967	3.547788	0.196398	0.035054	-1.461212	0.212966	0.116215	-0.694568	0.031616	0.178153	0.087321	-0.653649	2.541256	0.283345	2.69035	1.349799	0.674751
2	3.453091	0.004719	32.853255	8.448729	-19.393183	7.739853	9.177088	6.181906	-2.882877	0.277626	-0.062099	-0.753716	0.333474	0.016627	-0.44133	0.080154	0.11828	0.145504	-1.005922	4.46811	0.646902	-0.226548	1.026306	0.254921	4.782276	-0.527875	39.1093	9.24744	-21.445373	7.333412	12.79977	8.337335	-6.75996	0.24547	-0.144853	-1.166936	0.363301	-0.046403	-0.603051	0.126292	0.084869	0.115055	-1.218194	4.844235	0.574294	0.060324	1.919632	0.338331	5.988602	-0.012996	44.445465	9.247652	-21.844267	11.888393	12.944435	9.545441	-5.038976	0.161287	-0.214916	-1.588995	0.372804	-0.104065	-0.633231	0.152026	0.01142	0.038494	-1.32692	5.197328	0.528463	2.237213	1.708593	0.331617	5.548253	1.480351	32.230739	4.190546	-17.878135	12.44104	9.370334	10.816183	1.247113	0.466675	-0.049859	-0.806258	0.309106	0.008547	-0.362971	0.076658	0.107436	0.197034	-0.739	4.38871	0.6399	0.13801	1.100652	0.371565	7.436363	0.592695	38.978267	4.326552	-20.237796	13.494597	11.186776	11.62385	1.747878	0.457113	-0.00919	-1.131944	0.317126	0.05336	-0.461886	0.059452	0.139263	0.140299	-0.946083	4.850915	0.585576	0.476382	1.523661	0.78663	8.469206	-1.922902	43.239924	4.165588	-21.057148	14.51028	12.652733	13.522832	2.554598	0.35179	0.010027	-1.586102	0.324209	0.093894	-0.599462	0.036858	0.158045	0.060741	-1.0962	4.940485	0.469622	1.941809	2.067064	0.882932
3	4.021031	0.723158	32.975463	9.085667	-19.494958	9.602774	7.482955	5.411688	-2.120984	0.466063	-0.067154	-0.883308	0.545157	0.046186	-0.41699	0.095362	0.176877	0.209406	-1.239765	7.239867	0.866696	-1.145989	1.359198	0.372184	5.344045	0.010196	39.20348	9.752805	-21.410588	9.394114	11.344105	7.372815	-6.260532	0.462005	-0.167985	-1.301444	0.613555	-0.035337	-0.539844	0.156987	0.130548	0.137313	-1.71232	8.067116	0.809671	-1.314482	2.523646	0.644639	6.410511	0.342381	44.06619	9.746255	-21.774851	13.594745	11.47608	8.565267	-5.124516	0.403192	-0.250817	-1.688389	0.635695	-0.103587	-0.500661	0.182093	0.030985	0.004338	-1.929965	8.515026	0.732536	0.795585	2.024443	0.642332	6.054488	2.102122	32.008747	4.340182	-17.23418	14.117349	7.480237	9.823554	1.70091	0.659443	-0.079799	-0.878813	0.465494	0.011669	-0.30429	0.09682	0.138434	0.319356	-0.997703	7.177267	0.879247	-0.48854	1.207569	0.293777	7.897575	1.23262	38.731119	4.463748	-19.480967	15.273727	9.39905	10.347876	1.416057	0.668288	-0.04478	-1.237303	0.486954	0.047384	-0.363969	0.077681	0.157497	0.216038	-1.390526	8.008115	0.832706	-0.325202	1.561606	1.005093	8.77971	-1.362528	42.823658	4.284927	-20.468178	16.222379	10.938476	12.303973	1.748634	0.55808	-0.017823	-1.721388	0.477861	0.084558	-0.4681	0.042008	0.156828	0.074739	-1.616542	8.088292	0.660767	0.991066	2.161769	1.154407
4	4.712322	1.314414	33.365821	9.770019	-18.997765	12.319142	5.063325	4.314016	-0.661986	0.615562	-0.06925	-1.071144	0.752315	0.098499	-0.369076	0.08695	0.247108	0.336167	-1.333288	10.256688	0.974059	-2.35631	1.315928	0.021159	6.00365	0.356721	39.591197	10.33011	-20.632981	12.339525	9.15733	5.911987	-5.006298	0.652028	-0.193249	-1.493631	0.877903	0.002477	-0.449206	0.170722	0.205983	0.24387	-2.102077	11.674945	0.980304	-2.998737	2.392602	0.716935	6.908411	0.454871	43.938268	10.256122	-20.91547	16.034138	9.350759	7.050796	-4.583242	0.638456	-0.289607	-1.817971	0.923065	-0.077319	-0.334713	0.198797	0.086272	0.054303	-2.496043	12.283	0.895548	-0.949823	1.491195	1.097463	6.639133	2.583934	31.97973	4.483069	-16.192519	16.309303	4.941573	8.501694	2.712414	0.802369	-0.102076	-0.961624	0.601782	0.031117	-0.220463	0.091972	0.168232	0.510948	-1.192992	10.229336	0.987714	-1.278054	1.015577	-0.446601	8.399349	1.667601	38.69827	4.616465	-18.247368	17.628026	6.960329	8.740848	1.614701	0.871819	-0.081052	-1.344051	0.662104	0.05778	-0.226865	0.07979	0.188802	0.375537	-1.805475	11.509761	0.989324	-1.340502	1.016037	0.789841	9.118829	-0.925905	42.614154	4.422148	-19.368953	18.521939	8.67111	10.661985	1.374173	0.784978	-0.048866	-1.837655	0.649174	0.089551	-0.285413	0.039532	0.175366	0.1668	-2.142503	11.680357	0.794191	-0.160315	1.381699	1.375921
5	5.556396	1.73009	33.997927	10.36899	-17.942792	15.750144	2.162742	3.008356	1.456317	0.738826	-0.056023	-1.243883	0.919352	0.17179	-0.24482	0.040543	0.313412	0.520812	-1.352997	13.128266	0.911752	-3.727289	0.529411	-1.217341	6.761952	0.484389	40.247242	10.898193	-19.140147	16.053968	6.3396	4.068723	-2.919932	0.797606	-0.204591	-1.716684	1.104972	0.074455	-0.30323	0.14643	0.300581	0.451106	-2.327679	15.126135	1.014466	-4.867446	1.253523	-0.234642	7.467585	0.307803	44.064302	10.721357	-19.276902	19.172142	6.680186	5.105325	-3.251636	0.81682	-0.320173	-1.991938	1.177469	-0.019585	-0.131308	0.186541	0.173091	0.226725	-2.908529	15.97729	0.954915	-2.866148	-0.01716	0.890743	7.317164	2.91216	32.160836	4.565603	-14.944394	18.976202	2.016849	7.020563	4.269693	0.88571	-0.099313	-1.032624	0.674821	0.066284	-0.087066	0.043534	0.180587	0.761065	-1.345304	13.111956	0.883651	-2.15752	0.361831	-2.228619	8.94068	1.870371	38.885193	4.754608	-16.673773	20.51646	4.029628	6.951017	2.520863	1.009165	-0.097716	-1.44778	0.781959	0.088845	-0.037982	0.041346	0.216577	0.62659	-2.133212	14.814535	0.947161	-2.427516	-0.257745	-0.651234	9.485028	-0.661355	42.602033	4.562357	-17.825047	21.352371	5.966052	8.736403	1.665358	0.971403	-0.071033	-1.929576	0.788704	0.112477	-0.047858	0.013284	0.206369	0.365872	-2.589051	15.21818	0.787196	-1.371319	-0.398881	0.855127
6	6.563978	1.931124	34.803877	10.725579	-16.521904	19.663585	-0.843421	1.698574	4.002406	0.899417	-0.030446	-1.355119	1.042497	0.248264	-0.00716	-0.039288	0.359278	0.738286	-1.442396	15.600994	0.722415	-5.00739	-1.285458	-3.20197	7.623713	0.389078	41.109354	11.312379	-17.135965	20.321932	3.115072	2.074258	-0.164469	0.954754	-0.194015	-1.902096	1.273857	0.168149	-0.050332	0.073538	0.386394	0.731721	-2.497607	18.020245	0.907206	-6.585492	-1.218241	-2.653844	8.082739	-0.069053	44.422551	11.035388	-17.037226	22.894092	3.656326	2.919498	-1.136524	0.952685	-0.326657	-2.180711	1.360395	0.067272	0.141331	0.129112	0.269373	0.51096	-3.181368	19.128685	0.88354	-4.710876	-2.649894	-0.956153	8.093997	3.068624	32.53524	4.51095	-13.75982	22.017417	-0.891797	5.659346	6.233509	0.969932	-0.078499	-1.077018	0.687551	0.098033	0.118513	-0.039509	0.162119	1.038194	-1.537892	15.537751	0.61631	-3.008022	-0.887817	-4.764244	9.530271	1.833303	39.260004	4.796271	-15.019172	23.833862	0.924197	5.237707	4.132062	1.099604	-0.083774	-1.541145	0.822137	0.132064	0.225475	-0.046191	0.221488	0.93984	-2.418601	17.554734	0.703705	-3.372762	-2.315766	-3.671468	9.888111	-0.595776	42.756935	4.64707	-16.017175	24.616737	3.01568	6.735234	2.729527	1.093301	-0.067682	-2.006993	0.857491	0.153051	0.252848	-0.05453	0.232407	0.662339	-2.941965	18.253508	0.610095	-2.418913	-3.137645	-1.286841
7	7.708132	1.879734	35.666082	10.71986	-14.957326	23.769349	-3.583079	0.567654	6.703093	1.126946	-0.014226	-1.443174	1.12658	0.305093	0.313862	-0.130008	0.37743	0.964824	-1.6465	17.583736	0.505311	-5.997597	-3.616281	-5.295203	8.589739	0.07523	42.057138	11.416516	-14.938558	24.837714	-0.199765	0.223554	2.941187	1.18317	-0.179604	-2.035861	1.3888	0.253045	0.316536	-0.03457	0.436244	1.036481	-2.72461	20.221745	0.725261	-7.787269	-4.547654	-6.004957	8.764028	-0.61148	44.94305	11.071564	-14.53086	26.980085	0.523855	0.769853	1.56299	1.116391	-0.314694	-2.336444	1.471879	0.160077	0.516265	0.028933	0.343337	0.853472	-3.42802	21.529927	0.72431	-6.11965	-6.257432	-4.496388	8.952254	3.010334	33.034651	4.252002	-12.816428	25.264134	-3.39461	4.638371	8.424452	1.107029	-0.066612	-1.108425	0.671349	0.105059	0.381751	-0.126796	0.114184	1.311448	-1.796607	17.411939	0.323492	-3.699143	-2.548152	-7.200259	10.182248	1.547327	39.730935	4.628976	-13.549488	27.385711	-1.968462	3.873598	6.294217	1.221682	-0.072159	-1.616476	0.815965	0.153302	0.565721	-0.153095	0.185437	1.266794	-2.714905	19.648502	0.395991	-3.977589	-4.816998	-7.516576	10.350719	-0.737238	43.009246	4.578409	-14.204549	28.150481	0.074515	4.90955	4.502184	1.201814	-0.050488	-2.068282	0.865377	0.190923	0.628479	-0.157199	0.23081	1.00962	-3.261257	20.601754	0.34507	-3.057375	-6.495439	-5.125636
8	8.916101	1.547292	36.437404	10.304447	-13.361811	27.776649	-5.800725	-0.337801	9.359655	1.386189	-0.022274	-1.541398	1.171485	0.334624	0.659853	-0.211563	0.374516	1.187375	-1.885899	19.138349	0.33404	-6.379631	-5.596677	-6.911885	9.642593	-0.452244	42.916205	11.10538	-12.815883	29.260078	-3.274197	-1.28371	6.101967	1.459665	-0.187093	-2.157702	1.450779	0.305319	0.733956	-0.150764	0.442941	1.330352	-2.962208	21.814813	0.539582	-8.1135	-7.31661	-9.210536	9.531127	-1.249902	45.492106	10.740514	-12.11979	31.128623	-2.461941	-1.087422	4.570277	1.338719	-0.315271	-2.460513	1.526866	0.224128	0.963463	-0.088155	0.370661	1.197598	-3.66632	23.22089	0.551545	-6.708058	-9.65314	-8.700162	9.844552	2.681128	33.546503	3.746711	-12.066074	28.512932	-5.242072	3.965391	10.689738	1.28631	-0.084228	-1.148429	0.65214	0.084355	0.663001	-0.193534	0.053812	1.564037	-2.060346	18.808035	0.126732	-4.042605	-4.129036	-8.857104	10.901469	0.990858	40.147892	4.149932	-12.363408	30.912449	-4.31752	2.968729	8.801661	1.396143	-0.098968	-1.682556	0.799422	0.132684	0.940236	-0.242862	0.114487	1.573524	-2.976089	21.220674	0.166808	-4.056535	-6.935939	-10.865436	10.898851	-1.086998	43.238961	4.252843	-12.610249	31.720222	-2.58557	3.457604	6.807217	1.346484	-0.063763	-2.115666	0.850169	0.190174	1.054608	-0.259946	0.183443	1.357696	-3.551731	22.320404	0.121455	-3.089692	-9.514607	-9.619379
9	10.074312	0.947378	36.977791	9.510465	-11.74469	31.451353	-7.386842	-1.086906	11.862437	1.628575	-0.054387	-1.633384	1.18491	0.344497	0.991744	-0.275086	0.365433	1.400025	-2.052843	20.410631	0.250237	-5.724925	-6.756805	-7.857792	10.732539	-1.16489	43.494975	10.355056	-10.887354	33.289015	-5.838943	-2.425993	9.135894	1.715716	-0.220169	-2.266539	1.459354	0.324586	1.135954	-0.255385	0.420841	1.598724	-3.084478	23.012309	0.388592	-7.085561	-8.538997	-11.476934	10.394915	-1.928462	45.882389	10.024795	-10.032403	35.020534	-5.077552	-2.539118	7.651803	1.580802	-0.343986	-2.561635	1.532629	0.246982	1.411368	-0.198475	0.353802	1.509465	-3.79329	24.392422	0.404562	-6.034283	-11.414417	-12.293926	10.692763	2.066941	33.939279	2.991462	-11.30068	31.568838	-6.362336	3.459968	12.911298	1.475884	-0.137556	-1.19524	0.64729	0.047392	0.931398	-0.231824	0.001326	1.789579	-2.247061	19.884165	0.091178	-3.801514	-5.137752	-9.624274	11.661583	0.170094	40.337049	3.308305	-11.350241	34.150436	-5.929841	2.397711	11.451762	1.584664	-0.167258	-1.732702	0.781872	0.082376	1.299398	-0.302845	0.036224	1.847475	-3.1066	22.47133	0.076107	-3.386627	-7.897307	-12.90634	11.542048	-1.633566	43.288106	3.60479	-11.309717	35.063003	-4.733498	2.418378	9.437432	1.51765	-0.126024	-2.148931	0.830892	0.145355	1.475747	-0.33902	0.103035	1.676771	-3.730541	23.586531	0.007388	-2.34625	-11.104818	-13.389365
10	11.047628	0.163603	37.181788	8.447905	-10.116117	34.642693	-8.352914	-1.75917	14.170042	1.828254	-0.104147	-1.68871	1.183584	0.345802	1.293096	-0.318835	0.364242	1.600656	-2.089198	21.522456	0.277161	-3.862372	-7.069921	-8.270109	11.773635	-1.975198	43.633808	9.230985	-9.175034	36.719932	-7.729424	-3.292361	11.960505	1.91463	-0.268038	-2.3211	1.427578	0.322476	1.491534	-0.338609	0.392105	1.840777	-3.015469	24.024034	0.301735	-4.491042	-8.23099	-12.628314	11.336285	-2.590027	45.9153	8.978046	-8.323173	38.387504	-7.161124	-3.625597	10.65398	1.793056	-0.387894	-2.610031	1.493574	0.24179	1.806768	-0.293643	0.316534	1.779083	-3.706933	25.275126	0.287458	-3.780299	-11.01993	-14.568468	11.398254	1.242619	34.093804	2.047616	-10.339888	34.271092	-6.836841	2.909242	15.004126	1.654185	-0.218597	-1.224604	0.665136	0.010094	1.173736	-0.247963	-0.027553	1.987591	-2.306286	20.785752	0.222181	-2.797307	-5.344583	-9.760688	12.390775	-0.820568	40.15329	2.153066	-10.328279	36.888045	-6.779209	1.911186	14.063774	1.758682	-0.264537	-1.738661	0.767316	0.021538	1.613472	-0.335738	-0.024809	2.088283	-3.041698	23.559233	0.12731	-1.825042	-7.417779	-13.642935	12.251901	-2.31558	42.99954	2.646957	-10.23527	37.944358	-6.229382	1.666423	12.196194	1.682084	-0.220726	-2.143874	0.805953	0.078112	1.845364	-0.393406	0.020248	1.956704	-3.708946	24.585843	-0.000771	-0.697038	-10.747176	-15.67284
11	11.715548	-0.665768	36.996909	7.288419	-8.542013	37.276728	-8.796922	-2.385472	16.281387	1.976297	-0.161173	-1.686514	1.179346	0.347186	1.557455	-0.34586	0.379108	1.78897	-1.996036	22.510554	0.40494	-1.091088	-6.724337	-8.372202	12.655527	-2.74065	43.245006	7.883571	-7.681038	39.453995	-8.908705	-3.988744	14.550086	2.059957	-0.319782	-2.289416	1.376598	0.310738	1.789375	-0.396898	0.374748	2.062072	-2.757455	24.949839	0.300015	-0.741515	-6.905262	-12.899591	12.29342	-3.150544	45.437897	7.714503	-6.949323	41.054195	-8.631991	-4.458359	13.484175	1.958822	-0.432471	-2.566259	1.424567	0.222935	2.124758	-0.369784	0.281538	2.013101	-3.377776	26.032981	0.208223	-0.175118	-8.811838	-15.491655	11.864073	0.35826	33.934092	1.045804	-9.157416	36.511044	-6.838432	2.202057	16.921882	1.803926	-0.308892	-1.213811	0.700547	-0.015279	1.384754	-0.254034	-0.025658	2.161238	-2.224179	21.588974	0.473703	-1.040374	-4.873892	-9.540302	12.977874	-1.794196	39.521704	0.852441	-9.198569	38.998827	-6.985714	1.304907	16.503228	1.905952	-0.369031	-1.678024	0.758541	-0.031911	1.86773	-0.351959	-0.0522	2.300221	-2.771588	24.543615	0.290411	0.574129	-5.795587	-13.465495	12.951242	-2.996322	42.261257	1.492746	-9.273341	40.201567	-7.052737	1.010455	14.911492	1.82445	-0.326965	-2.06749	0.777826	0.007718	2.138599	-0.42804	-0.04174	2.19905	-3.447488	25.440315	0.074197	1.784032	-8.622598	-16.470412
12	12.009281	-1.392508	36.435552	6.224212	-7.135082	39.339686	-8.862717	-2.948368	18.207116	2.069432	-0.213002	-1.626086	1.174718	0.352924	1.778516	-0.361203	0.410835	1.965567	-1.806627	23.346531	0.591668	1.940318	-5.945349	-8.301048	13.267235	-3.309478	42.331489	6.520929	-6.414668	41.479774	-9.46134	-4.595248	16.898315	2.15908	-0.362661	-2.169106	1.318887	0.299686	2.021721	-0.433744	0.379129	2.267437	-2.35442	25.769676	0.37109	3.360159	-5.140241	-12.594175	13.164058	-3.504137	44.383098	6.395453	-5.846823	42.946096	-9.498423	-5.145858	16.083137	2.081719	-0.468409	-2.41728	1.344027	0.200706	2.350867	-0.42478	0.263822	2.223424	-2.832265	26.70847	0.179016	4.025053	-5.537257	-15.3513	12.019399	-0.416103	33.44561	0.151971	-7.892257	38.246106	-6.554522	1.371816	18.652125	1.906738	-0.387538	-1.159611	0.738454	-0.024694	1.559641	-0.259234	0.004601	2.314823	-2.013819	22.300796	0.770634	1.206088	-4.076191	-9.092859	13.300302	-2.534007	38.44955	-0.353598	-8.002301	40.450566	-6.741601	0.515002	18.696458	2.015943	-0.456329	-1.550349	0.75228	-0.067196	2.052988	-0.361983	-0.040593	2.487748	-2.32523	25.392617	0.512313	3.52264	-3.685224	-12.724404	13.524361	-3.49332	41.032143	0.332154	-8.349924	41.760753	-7.286964	0.300805	17.45233	1.94244	-0.424034	-1.908119	0.752164	-0.051884	2.342307	-0.449154	-0.069068	2.410095	-2.953435	26.180498	0.207236	4.778891	-5.398232	-16.132701
13	11.927374	-1.89647	35.566072	5.423131	-6.025842	40.859228	-8.696	-3.400903	19.950787	2.108118	-0.248816	-1.521971	1.168177	0.363113	1.949662	-0.368852	0.454648	2.130343	-1.560822	23.99184	0.785063	4.568013	-4.90351	-8.068696	13.526122	-3.564767	40.97752	5.360623	-5.406187	42.847497	-9.543364	-5.145718	18.998739	2.207499	-0.384662	-1.984889	1.256821	0.29431	2.18352	-0.455484	0.405853	2.457048	-1.860105	26.411182	0.472967	7.027986	-3.371757	-11.885319	13.826187	-3.556573	42.777632	5.200645	-4.965901	44.076526	-9.841151	-5.75994	18.408304	2.161448	-0.485358	-2.181352	1.261197	0.183609	2.476629	-0.460603	0.271521	2.417501	-2.121645	27.246948	0.191991	7.969182	-2.060232	-14.442747	11.837614	-0.941316	32.668289	-0.478926	-6.775627	39.495054	-6.136812	0.554961	20.197041	1.947936	-0.438654	-1.074382	0.763448	-0.021509	1.694554	-0.266478	0.053757	2.450985	-1.709379	22.896063	1.035836	3.490985	-3.261131	-8.437355	13.264459	-2.87105	37.009978	-1.236463	-6.898772	41.289947	-6.231173	-0.377135	20.619513	2.074932	-0.507487	-1.376181	0.740619	-0.083256	2.163812	-0.370815	0.00429	2.652614	-1.750086	26.03359	0.72853	6.506896	-1.713643	-11.593473	13.847471	-3.646462	39.342692	-0.633954	-7.465391	42.630515	-7.06658	-0.514722	19.736927	2.032151	-0.491388	-1.680658	0.727951	-0.091982	2.449874	-0.462748	-0.05649	2.595206	-2.262452	26.76262	0.362448	7.815959	-1.929568	-14.996092
14	11.52788	-2.107552	34.480811	4.992177	-5.317975	41.881511	-8.412884	-3.69606	21.501568	2.092739	-0.262088	-1.393935	1.157058	0.37508	2.063273	-0.370573	0.503144	2.281997	-1.285761	24.423152	0.940975	6.371539	-3.666081	-7.605996	13.402976	-3.44794	39.31364	4.57433	-4.708564	43.638969	-9.315873	-5.624676	20.83757	2.198923	-0.379325	-1.773915	1.190534	0.293995	2.271641	-0.466346	0.448537	2.627036	-1.317849	26.808906	0.558573	9.725263	-1.762925	-10.782761	14.172309	-3.256207	40.723427	4.288108	-4.293538	44.525103	-9.773643	-6.322561	20.428587	2.188109	-0.474751	-1.897177	1.176515	0.175326	2.503267	-0.480272	0.304644	2.594988	-1.307969	27.560167	0.217638	11.04908	0.91697	-12.941986	11.344264	-1.133962	31.670108	-0.742287	-6.016959	40.310967	-5.689995	-0.101045	21.552994	1.923704	-0.455849	-0.97682	0.767732	-0.012815	1.784638	-0.273735	0.109141	2.570214	-1.34913	23.344496	1.211624	5.341906	-2.504052	-7.550181	12.839416	-2.731201	35.309451	-1.645605	-6.08816	41.607068	-5.590028	-1.209879	22.269752	2.064695	-0.513699	-1.189602	0.716008	-0.085756	2.197037	-0.37706	0.069895	2.793419	-1.095697	26.399912	0.879883	8.919928	-0.157474	-10.108518	13.825602	-3.376389	37.278427	-1.25601	-6.693163	42.879914	-6.524944	-1.384377	21.723677	2.079396	-0.516283	-1.418371	0.698496	-0.112417	2.460622	-0.47014	-0.008742	2.755742	-1.424458	27.109244	0.495184	10.393468	1.068041	-13.252773
15	10.907214	-2.013142	33.260489	4.953921	-5.038136	42.450699	-8.087173	-3.822978	22.836122	2.02651	-0.252418	-1.259123	1.139404	0.385128	2.112094	-0.366433	0.548892	2.417834	-0.990299	24.630721	1.033523	7.222336	-2.239137	-6.820966	12.931427	-2.96582	37.470043	4.24491	-4.363222	43.934546	-8.902058	-5.996435	22.388521	2.136232	-0.348147	-1.564425	1.122431	0.295275	2.282625	-0.466912	0.498158	2.771735	-0.750629	26.91996	0.594067	11.211565	-0.255275	-9.210117	14.140487	-2.608351	38.362716	3.757581	-3.856193	44.407556	-9.401616	-6.810947	22.11895	2.152179	-0.433943	-1.608213	1.088192	0.175054	2.438544	-0.485335	0.357306	2.749223	-0.450025	27.569898	0.221925	12.978022	3.08005	-10.892046	10.611644	-0.969456	30.519086	-0.610483	-5.709084	40.748825	-5.276622	-0.521344	22.701219	1.845894	-0.442341	-0.880083	0.753126	-0.005155	1.824385	-0.277496	0.159301	2.671611	-0.959907	23.619408	1.272489	6.440924	-1.703589	-6.397206	12.06603	-2.140147	33.452405	-1.543781	-5.703429	41.493041	-4.899515	-1.842324	23.634991	1.976826	-0.47869	-1.018268	0.676771	-0.082396	2.15157	-0.37569	0.141847	2.906663	-0.403381	26.45015	0.929441	10.266868	1.071813	-8.217908	13.418266	-2.702777	34.953904	-1.465762	-6.140428	42.609677	-5.766833	-2.19078	23.389642	2.058945	-0.495588	-1.161663	0.655202	-0.118123	2.378836	-0.468737	0.063374	2.888842	-0.496907	27.146809	0.562625	12.102163	3.249243	-10.959618
