Time	Hip_Z_1	Hip_X_1	Hip_Y_1	Knee_Z_1	Knee_X_1	Knee_Y_1	Ankle_Z_1	Ankle_X_1	Ankle_Y_1	Hip_Z_2	Hip_X_2	Hip_Y_2	Knee_Z_2	Knee_X_2	Knee_Y_2	Ankle_Z_2	Ankle_X_2	Ankle_Y_2	Hip_Z_3	Hip_X_3	Hip_Y_3	Knee_Z_3	Knee_X_3	Knee_Y_3	Ankle_Z_3	Ankle_X_3	Ankle_Y_3	Hip_Z_4	Hip_X_4	Hip_Y_4	Knee_Z_4	Knee_X_4	Knee_Y_4	Ankle_Z_4	Ankle_X_4	Ankle_Y_4	Hip_Z_5	Hip_X_5	Hip_Y_5	Knee_Z_5	Knee_X_5	Knee_Y_5	Ankle_Z_5	Ankle_X_5	Ankle_Y_5	Hip_Z_6	Hip_X_6	Hip_Y_6	Knee_Z_6	Knee_X_6	Knee_Y_6	Ankle_Z_6	Ankle_X_6	Ankle_Y_6	Hip_Z_7	Hip_X_7	Hip_Y_7	Knee_Z_7	Knee_X_7	Knee_Y_7	Ankle_Z_7	Ankle_X_7	Ankle_Y_7	Hip_Z_8	Hip_X_8	Hip_Y_8	Knee_Z_8	Knee_X_8	Knee_Y_8	Ankle_Z_8	Ankle_X_8	Ankle_Y_8	Hip_Z_9	Hip_X_9	Hip_Y_9	Knee_Z_9	Knee_X_9	Knee_Y_9	Ankle_Z_9	Ankle_X_9	Ankle_Y_9	Hip_Z_10	Hip_X_10	Hip_Y_10	Knee_Z_10	Knee_X_10	Knee_Y_10	Ankle_Z_10	Ankle_X_10	Ankle_Y_10	Hip_Z_11	Hip_X_11	Hip_Y_11	Knee_Z_11	Knee_X_11	Knee_Y_11	Ankle_Z_11	Ankle_X_11	Ankle_Y_11	Hip_Z_12	Hip_X_12	Hip_Y_12	Knee_Z_12	Knee_X_12	Knee_Y_12	Ankle_Z_12	Ankle_X_12	Ankle_Y_12	Hip_Z_13	Hip_X_13	Hip_Y_13	Knee_Z_13	Knee_X_13	Knee_Y_13	Ankle_Z_13	Ankle_X_13	Ankle_Y_13	Hip_Z_14	Hip_X_14	Hip_Y_14	Knee_Z_14	Knee_X_14	Knee_Y_14	Ankle_Z_14	Ankle_X_14	Ankle_Y_14	Hip_Z_15	Hip_X_15	Hip_Y_15	Knee_Z_15	Knee_X_15	Knee_Y_15	Ankle_Z_15	Ankle_X_15	Ankle_Y_15	Hip_Z_16	Hip_X_16	Hip_Y_16	Knee_Z_16	Knee_X_16	Knee_Y_16	Ankle_Z_16	Ankle_X_16	Ankle_Y_16	Hip_Z_17	Hip_X_17	Hip_Y_17	Knee_Z_17	Knee_X_17	Knee_Y_17	Ankle_Z_17	Ankle_X_17	Ankle_Y_17	Hip_Z_18	Hip_X_18	Hip_Y_18	Knee_Z_18	Knee_X_18	Knee_Y_18	Ankle_Z_18	Ankle_X_18	Ankle_Y_18	Hip_Z_19	Hip_X_19	Hip_Y_19	Knee_Z_19	Knee_X_19	Knee_Y_19	Ankle_Z_19	Ankle_X_19	Ankle_Y_19	Hip_Z_20	Hip_X_20	Hip_Y_20	Knee_Z_20	Knee_X_20	Knee_Y_20	Ankle_Z_20	Ankle_X_20	Ankle_Y_20	Hip_Z_21	Hip_X_21	Hip_Y_21	Knee_Z_21	Knee_X_21	Knee_Y_21	Ankle_Z_21	Ankle_X_21	Ankle_Y_21
0	-28.358819	2.141729	-18.155242	9.218193	7.794785	27.800963	-5.918941	-5.377984	-12.043741	-26.558819	1.509201	-16.433706	8.774686	7.790704	28.191931	-9.406017	-4.605916	-11.984533	-29.153971	2.188557	-16.679876	9.158991	8.272392	28.992723	-9.009104	-6.800953	-13.204623	-27.28303	2.764898	-17.392745	8.979322	7.975626	28.694577	-10.073455	-5.97612	-12.208762	-26.654747	1.523791	-15.339052	6.387389	7.011827	28.846131	-12.954853	-5.152983	-11.490913	-27.824816	3.4889	-16.89793	9.188292	8.052463	28.419025	-9.876788	-5.855995	-12.24906	-25.23736	2.643723	-17.252209	10.247115	8.452158	27.89746	-8.234649	-6.317915	-12.547705	-25.10163	1.289795	-15.989137	7.657989	7.137346	28.372105	-9.793529	-5.113519	-12.213485	-24.705809	-1.100626	-18.034922	10.165889	8.111518	29.715714	-6.932826	-2.462141	-11.398643	-25.732725	0.069011	-14.01676	7.614408	7.184602	30.016073	-10.312202	-1.890599	-10.877862	-27.568564	1.228213	-16.895596	11.963889	9.138758	27.684857	-5.190344	-3.598166	-11.924989	-26.278069	1.113786	-16.387553	7.710829	7.615292	28.122814	-7.11602	-5.881839	-12.587072	-26.820078	2.985942	-17.764301	9.642579	8.16106	27.215104	-7.813643	-6.115377	-12.125736	-26.616229	0.269783	-16.84512	8.630138	7.850398	29.19557	-9.253528	-5.643057	-12.437864	-25.609641	1.143901	-18.548425	11.324077	8.93442	29.46502	-6.034317	-5.747054	-13.243765	-25.1668	1.149162	-16.472984	8.931595	7.572978	27.888341	-7.626215	-5.419999	-12.316487	-26.794397	0.883466	-13.122097	6.755204	7.301295	29.534711	-10.513989	-5.749036	-12.88842	-27.770069	2.051659	-16.624744	10.61364	8.624705	29.052758	-9.273078	-5.783525	-12.361321	-27.502672	1.90907	-16.600384	9.845774	8.559998	28.993589	-8.967239	-6.539726	-13.307458	-28.032528	2.379967	-14.077642	7.181007	6.747803	28.91027	-11.522971	-3.50081	-10.33137	-27.699175	1.72646	-16.965647	8.572931	7.906314	28.811781	-7.093524	-5.93217	-12.8814
1	-28.570243	2.16554	-18.590505	11.278606	8.305039	27.509544	-4.039824	-4.368872	-11.371647	-26.337787	1.42133	-16.674783	10.019108	8.089358	27.710368	-7.709772	-3.974787	-11.372657	-29.009152	2.113438	-16.997229	10.558833	8.71185	28.574159	-7.442428	-5.883243	-12.633396	-27.248179	2.525159	-17.538965	10.581571	8.545377	28.429606	-8.301314	-5.324303	-11.657357	-26.639003	1.458065	-15.196503	7.714884	7.525343	28.526207	-11.743745	-4.576766	-11.134929	-27.686428	3.367192	-17.073655	10.590067	8.48861	28.239075	-8.021018	-5.296089	-11.820769	-25.126352	2.643383	-17.536827	12.016717	8.955479	27.791328	-6.508592	-5.731109	-12.139929	-25.061523	1.18908	-16.212958	9.19358	7.609477	28.057545	-8.096513	-4.359436	-11.693354	-24.90962	-1.237731	-18.365976	11.93983	8.637947	29.147827	-5.088452	-1.004729	-10.511507	-25.614096	-0.168847	-14.176984	8.946935	7.806393	29.691168	-8.970764	-0.814021	-10.259721	-27.911793	1.158923	-17.301762	14.270687	9.758211	27.258687	-3.470627	-2.598237	-11.514596	-26.386318	1.118576	-16.602215	9.363498	8.098259	27.761794	-5.232184	-4.969137	-12.01337	-26.844203	2.91304	-17.894996	11.301177	8.593642	27.09626	-5.919267	-5.569379	-11.771186	-26.489663	0.191718	-17.154403	10.130698	8.297462	28.652645	-7.79172	-4.680476	-11.857637	-25.549936	0.880647	-18.866144	12.864625	9.358097	29.199451	-4.32644	-4.637969	-12.718927	-25.12784	1.077061	-16.675141	10.490024	7.988054	27.637571	-5.756445	-4.443662	-11.880659	-26.674606	0.996118	-13.29726	8.155009	7.749966	29.234383	-9.492477	-5.225394	-12.5307	-27.569291	1.910173	-16.773411	12.094752	9.082109	28.630601	-7.581382	-4.883739	-11.694456	-27.324633	1.822464	-16.760147	11.144311	8.973064	28.931057	-7.44512	-5.568128	-12.939675	-27.882797	2.223476	-14.08963	8.687735	7.378079	28.543419	-10.409705	-2.652485	-9.580637	-27.822556	1.57743	-17.319324	10.303028	8.443775	28.474958	-5.206637	-4.775273	-12.29097
2	-28.962123	2.079331	-19.121515	13.7776	8.885301	27.151847	-2.328069	-3.148227	-10.636763	-26.250667	1.23896	-17.017946	11.628666	8.460312	27.144533	-5.757318	-3.112624	-10.618442	-28.967774	1.971606	-17.438042	12.279947	9.177105	28.014137	-5.601595	-4.704989	-11.896244	-27.365021	2.183757	-17.78839	12.569884	9.210137	28.00952	-6.366896	-4.502649	-11.011644	-26.689146	1.314354	-15.172952	9.303797	8.144846	28.161219	-9.990647	-3.789814	-10.69936	-27.693037	3.126194	-17.371281	12.37231	9.018442	27.941105	-5.918919	-4.550423	-11.318364	-25.165265	2.507612	-17.868779	14.177471	9.558686	27.548662	-4.826948	-4.962484	-11.647364	-25.137909	0.998929	-16.528926	11.038081	8.167795	27.658392	-6.112283	-3.413433	-11.065	-25.298868	-1.387064	-18.802048	14.143144	9.236553	28.559593	-3.367169	0.509204	-9.606379	-25.590396	-0.463534	-14.472583	10.629109	8.573077	29.253949	-7.302359	0.318694	-9.59598	-28.486446	1.039353	-17.801859	17.063955	10.455522	26.729148	-2.202782	-1.574066	-10.990957	-26.661138	1.029811	-16.982802	11.452888	8.685438	27.296816	-3.357369	-3.891625	-11.331668	-27.02927	2.711956	-18.131385	13.399603	9.144923	26.866915	-4.076797	-4.819506	-11.372239	-26.502753	0.063727	-17.57474	11.936722	8.792512	28.030026	-6.094327	-3.510354	-11.144243	-25.686747	0.530378	-19.263667	14.835371	9.87747	28.746304	-2.804847	-3.353154	-12.03989	-25.281861	0.885667	-16.996432	12.399582	8.503844	27.37722	-3.789926	-3.259177	-11.393259	-26.625833	1.025073	-13.628371	9.801678	8.300582	28.909985	-8.112511	-4.479091	-11.976709	-27.512562	1.690214	-17.050862	13.891859	9.608258	28.137916	-5.742447	-3.811652	-10.937799	-27.247513	1.625453	-17.024562	12.724967	9.480652	28.738891	-5.681959	-4.354649	-12.457115	-27.856917	2.000505	-14.284574	10.477603	8.113375	28.206361	-8.813077	-1.65931	-8.787762	-28.140813	1.354873	-17.839511	12.45881	9.068807	28.076705	-3.33936	-3.43198	-11.591533
3	-29.603421	1.874713	-19.760715	16.783378	9.532376	26.755554	-1.150051	-1.806707	-9.887582	-26.349989	0.95219	-17.500085	13.649976	8.87605	26.5354	-3.821067	-2.001065	-9.756286	-29.093497	1.756492	-18.041332	14.398543	9.64102	27.354729	-3.769594	-3.287274	-11.002728	-27.677816	1.752034	-18.207258	15.006081	9.933457	27.472708	-4.589053	-3.536584	-10.276321	-26.82878	1.087219	-15.323174	11.16886	8.826584	27.752606	-7.787021	-2.743176	-10.187039	-27.910184	2.762154	-17.821492	14.605623	9.61319	27.528328	-3.895892	-3.625451	-10.742072	-25.422386	2.225987	-18.266248	16.789719	10.242153	27.148075	-3.522496	-4.041881	-11.062914	-25.405285	0.70992	-16.974982	13.258658	8.789939	27.189953	-4.120396	-2.284812	-10.358366	-25.915274	-1.544766	-19.370318	16.852523	9.89099	28.013072	-2.130084	1.962887	-8.712618	-25.734839	-0.808053	-14.947734	12.732909	9.442971	28.700827	-5.534344	1.448964	-8.874222	-29.3279	0.876584	-18.396005	20.386609	11.195783	26.132745	-1.714155	-0.635331	-10.352109	-27.179128	0.841254	-17.583221	14.070853	9.35496	26.743848	-1.857406	-2.703002	-10.522152	-27.443174	2.378076	-18.507496	16.01684	9.793269	26.512769	-2.651388	-3.89508	-10.920533	-26.724355	-0.119861	-18.153249	14.096062	9.309358	27.361093	-4.404684	-2.163589	-10.288205	-26.104504	0.107478	-19.776113	17.325641	10.471196	28.117973	-1.800353	-1.99088	-11.192421	-25.699951	0.555801	-17.48172	14.725379	9.124991	27.114489	-2.056374	-1.92708	-10.860615	-26.663855	0.930938	-14.133111	11.698754	8.922594	28.553363	-6.465862	-3.479257	-11.23723	-27.682403	1.381794	-17.512208	16.083789	10.190435	27.610044	-4.064305	-2.625549	-10.121533	-27.336766	1.307312	-17.440674	14.642566	10.05063	28.378495	-3.93855	-2.941614	-11.817821	-28.009016	1.699186	-14.70924	12.562605	8.920659	27.90818	-6.857435	-0.508359	-7.981209	-28.717661	1.0712	-18.571461	15.112283	9.770561	27.660299	-1.843295	-2.008783	-10.803927
4	-30.490927	1.579247	-20.473004	20.243986	10.241855	26.366992	-0.725101	-0.516848	-9.172703	-26.658053	0.573356	-18.142769	16.087232	9.321396	25.978165	-2.287045	-0.735527	-8.852479	-29.415818	1.479651	-18.810817	16.931859	10.100138	26.71082	-2.334178	-1.773785	-10.022517	-28.193586	1.273124	-18.822074	17.876292	10.672617	26.918081	-3.302872	-2.528925	-9.477423	-27.084795	0.795037	-15.694275	13.321048	9.526847	27.348467	-5.494218	-1.501188	-9.625468	-28.360575	2.309514	-18.423009	17.294023	10.241209	27.070624	-2.344447	-2.620991	-10.114982	-25.907802	1.83501	-18.734949	19.812746	10.971352	26.63288	-2.829258	-3.075066	-10.411968	-25.901486	0.34649	-17.572834	15.86203	9.456078	26.723835	-2.49098	-1.079363	-9.630604	-26.698896	-1.708973	-20.029067	19.97132	10.573651	27.554522	-1.549624	3.249662	-7.848539	-26.114609	-1.169788	-15.633229	15.296998	10.352921	28.098181	-4.027234	2.485461	-8.084226	-30.356488	0.691956	-19.034728	24.101038	11.931632	25.535142	-2.031975	0.132993	-9.646721	-27.938056	0.5847	-18.381222	17.147687	10.072226	26.181943	-0.973199	-1.535985	-9.627501	-28.089191	1.954389	-19.012786	19.098242	10.499896	26.078657	-1.886418	-2.924602	-10.414354	-27.186306	-0.342561	-18.902682	16.603782	9.836423	26.730329	-3.043227	-0.765997	-9.341117	-26.790665	-0.341392	-20.396735	20.262631	11.099054	27.412719	-1.457752	-0.700284	-10.228842	-26.375145	0.120842	-18.123172	17.449712	9.844429	26.87409	-0.862077	-0.6062	-10.309028	-26.801138	0.708604	-14.802376	13.831611	9.582544	28.196488	-4.824877	-2.303221	-10.399494	-28.095748	1.012315	-18.148378	18.659356	10.813474	27.114176	-2.850203	-1.457213	-9.298141	-27.639141	0.896426	-18.033243	16.926352	10.647656	27.890806	-2.566681	-1.473663	-11.025559	-28.373393	1.329469	-15.383462	14.959339	9.767656	27.680494	-4.885057	0.733319	-7.208551	-29.546369	0.761376	-19.482005	18.240093	10.531267	27.279677	-1.001695	-0.677054	-9.981087
5	-31.601157	1.213089	-21.192262	24.122851	11.01211	25.995758	-1.180498	0.579537	-8.519117	-27.169785	0.122384	-18.933453	18.926203	9.804349	25.544101	-1.414251	0.545197	-7.958241	-29.947786	1.151349	-19.72669	19.907023	10.571993	26.182322	-1.591455	-0.312047	-9.021942	-28.9065	0.783691	-19.616667	21.177156	11.401124	26.422893	-2.732163	-1.575752	-8.652466	-27.485725	0.455214	-16.314231	15.800403	10.232798	27.010804	-3.487575	-0.17732	-9.036375	-29.052668	1.801428	-19.15591	20.457462	10.892919	26.632891	-1.54562	-1.641515	-9.469319	-26.620932	1.36266	-19.266455	23.231505	11.724091	26.037838	-2.902771	-2.161201	-9.711812	-26.661761	-0.066955	-18.333952	18.899036	10.171531	26.32419	-1.538082	0.084328	-8.920373	-27.611275	-1.882578	-20.717699	23.48702	11.268341	27.208527	-1.825843	4.257059	-7.031896	-26.755685	-1.510331	-16.527564	18.31988	11.256521	27.537473	-3.040074	3.359915	-7.235308	-31.473245	0.491365	-19.647607	28.078393	12.622363	24.97626	-3.151061	0.670657	-8.92601	-28.947096	0.280245	-19.350432	20.688336	10.823426	25.67419	-0.930684	-0.518398	-8.686227	-28.968169	1.47061	-19.622705	22.63865	11.241634	25.594245	-1.973232	-2.022998	-9.849857	-27.923529	-0.586532	-19.818246	19.505217	10.384411	26.215186	-2.285302	0.55895	-8.360738	-27.736949	-0.785368	-21.10461	23.634331	11.735975	26.70157	-1.918877	0.39129	-9.187157	-27.312618	-0.391136	-18.891265	20.626526	10.671392	26.660263	-0.483646	0.552453	-9.757841	-27.063739	0.366442	-15.637859	16.228376	10.273112	27.884886	-3.469655	-1.055433	-9.532255	-28.789083	0.600726	-18.944016	21.688081	11.478621	26.701883	-2.399147	-0.433145	-8.507841	-28.192899	0.424671	-18.805573	19.635531	11.258396	27.331704	-1.843443	-0.090001	-10.098567	-28.951804	0.913224	-16.29009	17.699576	10.639528	27.551411	-3.233213	1.95634	-6.494744	-30.600224	0.44849	-20.502567	21.849278	11.338722	26.951537	-1.019577	0.430197	-9.158116
6	-32.825899	0.798561	-21.799597	28.277452	11.807279	25.609026	-2.459991	1.387397	-7.942047	-27.884147	-0.387344	-19.8253	22.198436	10.349839	25.281587	-1.484428	1.665062	-7.118756	-30.673293	0.783933	-20.710489	23.330531	11.077946	25.834724	-1.760145	0.936257	-8.076238	-29.770016	0.321363	-20.508616	24.863987	12.08681	26.041768	-3.020354	-0.763341	-7.866648	-28.071245	0.0817	-17.190265	18.706879	10.94889	26.80268	-2.209697	1.068343	-8.437356	-29.957072	1.277244	-19.951057	24.085616	11.559236	26.260241	-1.700477	-0.802589	-8.855638	-27.506578	0.842557	-19.802161	26.965066	12.467632	25.391494	-3.75645	-1.392834	-8.985254	-27.667764	-0.494717	-19.200718	22.389306	10.938661	26.017739	-1.485947	1.067053	-8.255353	-28.554615	-2.070696	-21.327445	27.235233	11.945312	26.928689	-2.836404	4.974405	-6.270404	-27.670207	-1.778342	-17.61182	21.820831	12.103387	27.13733	-2.860276	3.982794	-6.364896	-32.519722	0.269486	-20.127231	32.085636	13.222528	24.459811	-4.873596	0.989729	-8.252581	-30.114629	-0.04122	-20.370548	24.564998	11.577448	25.246827	-1.701886	0.264313	-7.762286	-29.998591	0.968486	-20.249616	26.519361	11.973383	25.082269	-2.885614	-1.284112	-9.245887	-28.916099	-0.830419	-20.827941	22.815179	10.965201	25.86219	-2.327211	1.681895	-7.419251	-28.824938	-1.206105	-21.815971	27.291002	12.351471	26.041766	-3.075536	1.225443	-8.140586	-28.440204	-0.92905	-19.676793	24.225556	11.573576	26.43935	-1.008567	1.432767	-9.226869	-27.48716	-0.067817	-16.63219	18.955123	10.999662	27.664021	-2.722048	0.119576	-8.687985	-29.702319	0.17862	-19.803851	25.121484	12.167066	26.381974	-2.781341	0.363739	-7.782414	-29.008448	-0.06286	-19.712099	22.822096	11.871271	26.767936	-1.984198	1.056043	-9.08239	-29.750035	0.47604	-17.392862	20.882473	11.525933	27.543057	-2.321535	3.004779	-5.852078	-31.770014	0.150232	-21.489782	25.850752	12.152923	26.652795	-1.932976	1.234344	-8.375528
7	-34.006449	0.349249	-22.201766	32.483548	12.561409	25.160531	-4.32896	1.923543	-7.436634	-28.711929	-0.926893	-20.697301	25.766611	10.949319	25.12962	-2.358083	2.542046	-6.35617	-31.510517	0.392962	-21.64104	27.070957	11.611798	25.626981	-2.723617	1.918095	-7.229804	-30.679078	-0.09752	-21.373847	28.764844	12.704015	25.764201	-4.027893	-0.104044	-7.165703	-28.811528	-0.308629	-18.212793	22.019261	11.672589	26.703505	-1.794281	2.123129	-7.838953	-30.963247	0.766462	-20.698586	28.017688	12.216313	25.941501	-2.677373	-0.146493	-8.313472	-28.460774	0.301691	-20.252961	30.86145	13.160939	24.701187	-5.224948	-0.787583	-8.260129	-28.814591	-0.908621	-20.057203	26.231409	11.730088	25.774888	-2.295101	1.801993	-7.647154	-29.422436	-2.28823	-21.739641	31.040503	12.560033	26.645943	-4.466592	5.406664	-5.57945	-28.724673	-1.958748	-18.761853	25.613113	12.856572	26.926318	-3.422254	4.367869	-5.530728	-33.367498	0.017244	-20.393847	35.900252	13.695612	23.963815	-6.978216	1.145704	-7.656375	-31.309712	-0.362743	-21.301069	28.611297	12.289552	24.890507	-3.189499	0.782138	-6.915066	-31.057125	0.476641	-20.786593	30.557995	12.639431	24.542561	-4.466221	-0.734894	-8.632664	-30.061132	-1.066494	-21.811626	26.442422	11.566169	25.645822	-3.133964	2.552479	-6.56566	-29.917389	-1.599071	-22.429262	31.059267	12.908904	25.454802	-4.787739	1.80065	-7.155274	-29.628917	-1.446867	-20.351374	28.114777	12.478763	26.170402	-2.338337	2.006169	-8.738104	-28.059198	-0.544073	-17.719587	22.008887	11.754669	27.526311	-2.682723	1.123026	-7.885185	-30.729186	-0.230555	-20.613791	28.846699	12.837236	26.137048	-3.950829	0.90849	-7.150498	-29.996119	-0.528854	-20.639137	26.380341	12.463381	26.23714	-2.890777	1.917729	-8.052454	-30.674926	0.048743	-18.547965	24.431152	12.392007	27.601995	-2.226772	3.818349	-5.261662	-32.907157	-0.128068	-22.299395	30.043373	12.911832	26.336198	-3.550345	1.764138	-7.663179
8	-34.937367	-0.132602	-22.302285	36.445299	13.177447	24.60026	-6.575621	2.219283	-6.987235	-29.556369	-1.477359	-21.405266	29.487968	11.572533	25.007666	-3.95463	3.121101	-5.704808	-32.353591	-0.014809	-22.347284	30.964025	12.131249	25.475485	-4.418044	2.584561	-6.529412	-31.49327	-0.462435	-22.058341	32.655572	13.204466	25.56311	-5.680636	0.386892	-6.593856	-29.660417	-0.704361	-19.247088	25.731182	12.371665	26.663182	-2.419686	2.879118	-7.250182	-31.919391	0.289275	-21.235191	32.045921	12.815003	25.635872	-4.406086	0.288167	-7.893249	-29.336356	-0.242147	-20.499521	34.708971	13.733821	23.956053	-7.15694	-0.33606	-7.561202	-29.925063	-1.290842	-20.738369	30.233907	12.476387	25.537611	-3.891803	2.247251	-7.116532	-30.106986	-2.556322	-21.874796	34.670327	13.067768	26.268193	-6.455756	5.633893	-4.953009	-29.772337	-2.053972	-19.821461	29.525961	13.457781	26.887015	-4.714711	4.52408	-4.789507	-33.901054	-0.277314	-20.399321	39.274437	14.011429	23.46596	-9.248633	1.196126	-7.138297	-32.347256	-0.681737	-21.995545	32.565471	12.898387	24.560836	-5.17217	1.077774	-6.179009	-31.973853	0.009658	-21.111234	34.488613	13.169388	23.963292	-6.506053	-0.35804	-8.043517	-31.196652	-1.30569	-22.600156	30.226233	12.139873	25.505226	-4.646015	3.147429	-5.85208	-30.854659	-1.968716	-22.840309	34.703494	13.361754	24.92887	-6.840406	2.177831	-6.273854	-30.679245	-1.909912	-20.760435	32.055829	13.2784	25.798757	-4.287906	2.295441	-8.31645	-28.761818	-1.016375	-18.787308	25.416483	12.507601	27.434838	-3.520739	1.836147	-7.142624	-31.685323	-0.620922	-21.236711	32.620916	13.421127	25.914288	-5.699762	1.245912	-6.625753	-31.019391	-0.94772	-21.412966	30.173045	12.970255	25.740687	-4.521202	2.451851	-7.095752	-31.620608	-0.34679	-19.59251	28.249182	13.169	27.65554	-3.023357	4.363678	-4.721557	-33.830205	-0.391621	-22.753741	34.158619	13.523959	25.929631	-5.685485	2.065521	-7.044493
9	-35.538281	-0.634086	-22.147551	39.982721	13.623355	23.943726	-8.935839	2.370924	-6.550339	-30.279871	-2.020598	-21.836722	33.10823	12.146912	24.796111	-5.97192	3.46821	-5.148739	-33.078217	-0.432667	-22.765207	34.743063	12.575838	25.257179	-6.490821	3.03863	-5.933397	-32.112122	-0.798075	-22.500318	36.299696	13.593312	25.363669	-7.658061	0.766046	-6.120352	-30.488913	-1.091976	-20.131651	29.601385	12.989406	26.590219	-3.808938	3.374268	-6.683554	-32.686638	-0.163544	-21.498658	35.892167	13.328536	25.281124	-6.525038	0.565826	-7.57344	-30.017424	-0.779527	-20.526925	38.307492	14.162274	23.168474	-9.293919	0.022339	-6.881855	-30.830613	-1.652283	-21.15598	34.122613	13.113749	25.237145	-5.935926	2.489697	-6.649361	-30.530008	-2.897267	-21.699539	37.930122	13.438048	25.723789	-8.608279	5.71108	-4.369453	-30.639939	-2.125983	-20.616139	33.313542	13.890152	26.887202	-6.495305	4.547201	-4.164302	-34.124419	-0.618371	-20.195938	42.124492	14.197987	22.958944	-11.510519	1.190484	-6.670208	-33.095196	-1.008361	-22.392434	36.19897	13.367244	24.211256	-7.410678	1.225838	-5.538061	-32.639617	-0.439394	-21.195956	38.091594	13.547829	23.350368	-8.742697	-0.088391	-7.490329	-32.165107	-1.569179	-23.112067	33.925143	12.63489	25.341402	-6.564149	3.562321	-5.255774	-31.532846	-2.325362	-23.010091	38.033408	13.68831	24.439595	-9.033511	2.430628	-5.495931	-31.4487	-2.319749	-20.848041	35.810478	13.904885	25.293759	-6.56994	2.397371	-7.948311	-29.490306	-1.452542	-19.696502	29.001616	13.200184	27.30819	-4.989258	2.292798	-6.457959	-32.414536	-1.008362	-21.591203	36.197816	13.871818	25.651006	-7.777194	1.45057	-6.185923	-31.896705	-1.332652	-21.923366	33.917193	13.343497	25.233243	-6.539969	2.78415	-6.243066	-32.435883	-0.718968	-20.366962	32.068285	13.799285	27.60396	-4.46438	4.706033	-4.224418	-34.463304	-0.663547	-22.838631	37.975577	13.967871	25.401239	-8.036446	2.251183	-6.491958
10	-35.706992	-1.146772	-21.763439	42.869648	13.854192	23.215063	-11.244412	2.411323	-6.089501	-30.780287	-2.546881	-21.949324	36.421622	12.604969	24.415928	-8.179261	3.657818	-4.638604	-33.563671	-0.865673	-22.826452	38.152228	12.889655	24.874962	-8.749923	3.317915	-5.406327	-32.4428	-1.135258	-22.631942	39.47647	13.867899	25.092221	-9.794892	1.045934	-5.718645	-31.168024	-1.468213	-20.728922	33.380761	13.46452	26.401317	-5.750833	3.646812	-6.148279	-33.1388	-0.605928	-21.429924	39.29941	13.725326	24.813142	-8.846421	0.703045	-7.324419	-30.369839	-1.303403	-20.314324	41.409174	14.41019	22.355746	-11.474786	0.301413	-6.206152	-31.345844	-2.012053	-21.197561	37.599628	13.562494	24.789578	-8.227989	2.565516	-6.219247	-30.656963	-3.322489	-21.254467	40.678518	13.668756	24.990619	-10.75411	5.681353	-3.800968	-31.217634	-2.242568	-21.046727	36.77515	14.16864	26.80799	-8.549404	4.510251	-3.650753	-34.024151	-1.022536	-19.828792	44.326007	14.271195	22.442733	-13.639864	1.146166	-6.228586	-33.44603	-1.365395	-22.467565	39.281412	13.674521	23.804341	-9.705722	1.277682	-4.959792	-32.935382	-0.885959	-21.022582	41.106955	13.763144	22.720038	-10.990565	0.101582	-6.978932	-32.795221	-1.892196	-23.243971	37.267971	12.994661	25.051224	-8.70676	3.839405	-4.750927	-31.858602	-2.687004	-22.924842	40.859307	13.877188	23.964023	-11.205891	2.60699	-4.807687	-31.787511	-2.683364	-20.549895	39.114279	14.284764	24.615871	-8.987433	2.365222	-7.607319	-30.132591	-1.839731	-20.288954	32.578436	13.755813	27.055248	-6.956164	2.508625	-5.84299	-32.789165	-1.420282	-21.620529	39.33188	14.156972	25.277799	-9.97179	1.574795	-5.788837	-32.457543	-1.704154	-22.066289	37.344084	13.532888	24.666929	-8.756981	2.986709	-5.506183	-33.010863	-1.100479	-20.782681	35.646258	14.264626	27.365417	-6.308382	4.900044	-3.758279	-34.700832	-0.98278	-22.510278	41.235554	14.214149	24.712935	-10.411997	2.374833	-5.978635
